protein_id	specie
0	muris
GMRT_10631	muris
GMRT_11262	muris
GMRT_11289	muris
GMRT_11460	muris
GMRT_11584	muris
GMRT_11874	muris
GMRT_11935	muris
GMRT_12083	muris
GMRT_12088	muris
GMRT_12213	muris
GMRT_12315	muris
GMRT_12427	muris
GMRT_12492	muris
GMRT_12630	muris
GMRT_12985	muris
GMRT_13169	muris
GMRT_13171	muris
GMRT_13699	muris
GMRT_14017	muris
GMRT_14048	muris
GMRT_14450	muris
GMRT_14478	muris
GMRT_15040	muris
GMRT_15621	muris
GMRT_15976	muris
GMRT_16230	muris
GMRT_16267	muris
GMRT_20507	muris
GMRT_20521	muris
GMRT_21237	muris
GMRT_21305	muris
GMRT_21983	muris
GMRT_22541	muris
GMRT_22641	muris
GMRT_22709	muris
GMRT_23776	muris
GMRT_24219	muris
GMRT_24443	muris
GMRT_24885	muris
GMRT_24888	muris
GMRT_10843	muris
GMRT_11413	muris
GMRT_20186	muris
GMRT_21477	muris
GMRT_21620	muris
GMRT_21895	muris
GMRT_21922	muris
GMRT_22754	muris
GMRT_22765	muris
GMRT_22860	muris
GMRT_22941	muris
GMRT_24754	muris
GMRT_24789	muris
GMRT_11623	muris
GMRT_12960	muris
GMRT_14443	muris
GMRT_15754	muris
GMRT_16012	muris
GMRT_16075	muris
GMRT_16412	muris
GMRT_20412	muris
GMRT_24042	muris
GMRT_13528	muris
GMRT_13015	muris
GMRT_10286	muris
GMRT_11978	muris
GMRT_25090	muris
GMRT_25126	muris
GMRT_10177	muris
GMRT_14318	muris
GMRT_14516	muris
GMRT_13615	muris
GMRT_22698	muris
GMRT_23241	muris
GMRT_14931	muris
GMRT_15103	muris
GMRT_13765	muris
