protein_id	specie
HIN_000231	HI
HIN_000347	HI
HIN_000529	HI
HIN_000821	HI
HIN_001109	HI
HIN_001345	HI
HIN_002907	HI
HIN_002976	HI
HIN_003031	HI
HIN_003032	HI
HIN_003044	HI
HIN_003359	HI
HIN_003513	HI
HIN_003595	HI
HIN_003993	HI
HIN_004339	HI
HIN_004340	HI
HIN_004386	HI
HIN_004606	HI
HIN_004710	HI
HIN_005185	HI
HIN_005186	HI
HIN_005208	HI
HIN_005599	HI
HIN_005647	HI
HIN_005648	HI
HIN_006514	HI
HIN_006521	HI
HIN_006782	HI
HIN_006783	HI
HIN_007864	HI
HIN_009300	HI
HIN_009301	HI
HIN_009464	HI
HIN_009465	HI
HIN_010292	HI
HIN_010360	HI
HIN_010361	HI
HIN_010368	HI
HIN_010815	HI
HIN_010816	HI
HIN_010825	HI
HIN_011472	HI
HIN_012620	HI
HIN_012670	HI
HIN_012671	HI
HIN_012869	HI
HIN_013805	HI
HIN_013806	HI
HIN_013992	HI
HIN_013995	HI
HIN_014044	HI
HIN_014336	HI
HIN_014502	HI
HIN_014964	HI
HIN_015077	HI
HIN_015335	HI
HIN_015336	HI
HIN_015577	HI
HIN_015821	HI
HIN_015956	HI
HIN_016495	HI
HIN_016496	HI
HIN_016615	HI
HIN_016616	HI
HIN_016709	HI
HIN_016854	HI
HIN_017166	HI
HIN_017167	HI
HIN_017221	HI
HIN_017405	HI
HIN_017406	HI
HIN_017597	HI
HIN_017632	HI
HIN_018753	HI
HIN_018894	HI
HIN_019128	HI
HIN_019129	HI
HIN_019140	HI
HIN_019858	HI
HIN_019897	HI
HIN_019928	HI
HIN_020480	HI
HIN_020711	HI
HIN_020890	HI
HIN_021862	HI
HIN_022030	HI
HIN_022583	HI
HIN_022621	HI
HIN_022805	HI
HIN_023380	HI
HIN_023412	HI
HIN_023530	HI
HIN_023531	HI
HIN_023742	HI
HIN_023743	HI
HIN_024425	HI
HIN_024740	HI
HIN_024922	HI
HIN_024944	HI
HIN_025069	HI
HIN_025722	HI
HIN_025936	HI
HIN_025991	HI
HIN_026296	HI
HIN_026297	HI
HIN_026378	HI
HIN_027224	HI
HIN_027225	HI
HIN_027234	HI
HIN_027245	HI
HIN_027246	HI
HIN_027452	HI
HIN_027864	HI
HIN_027867	HI
HIN_027995	HI
HIN_028035	HI
HIN_028201	HI
HIN_028641	HI
HIN_028650	HI
HIN_028663	HI
HIN_028724	HI
HIN_029041	HI
HIN_029046	HI
HIN_029073	HI
HIN_029543	HI
HIN_029554	HI
HIN_029754	HI
HIN_029811	HI
HIN_029897	HI
HIN_029918	HI
HIN_030910	HI
HIN_031324	HI
HIN_031558	HI
HIN_032418	HI
HIN_032784	HI
HIN_032787	HI
HIN_032827	HI
HIN_032841	HI
HIN_032842	HI
HIN_033220	HI
HIN_033221	HI
HIN_033325	HI
HIN_033420	HI
HIN_033445	HI
HIN_033579	HI
HIN_033700	HI
HIN_034065	HI
HIN_035119	HI
HIN_035725	HI
HIN_035726	HI
HIN_035835	HI
HIN_036730	HI
HIN_037028	HI
HIN_037053	HI
HIN_037054	HI
HIN_037795	HI
HIN_037831	HI
HIN_037866	HI
HIN_038923	HI
HIN_038947	HI
HIN_040102	HI
HIN_040326	HI
HIN_040706	HI
HIN_040823	HI
HIN_040919	HI
HIN_041566	HI
HIN_041760	HI
HIN_041976	HI
HIN_042280	HI
HIN_043030	HI
HIN_043113	HI
HIN_043147	HI
HIN_043186	HI
HIN_043187	HI
HIN_043203	HI
HIN_043679	HI
HIN_044221	HI
HIN_044451	HI
HIN_044521	HI
HIN_044736	HI
HIN_044737	HI
HIN_045014	HI
HIN_045015	HI
HIN_045064	HI
HIN_045065	HI
HIN_045581	HI
HIN_046043	HI
HIN_046126	HI
HIN_046127	HI
HIN_046529	HI
HIN_046530	HI
HIN_046531	HI
HIN_046820	HI
HIN_046974	HI
HIN_047086	HI
HIN_047679	HI
HIN_047680	HI
HIN_047779	HI
HIN_047781	HI
HIN_047910	HI
HIN_047911	HI
HIN_047934	HI
HIN_047967	HI
HIN_047972	HI
HIN_047979	HI
HIN_047981	HI
HIN_048106	HI
HIN_048412	HI
HIN_048511	HI
HIN_048512	HI
HIN_048514	HI
HIN_048515	HI
HIN_048639	HI
HIN_048965	HI
HIN_049860	HI
HIN_049861	HI
HIN_049947	HI
HIN_049960	HI
HIN_051594	HI
HIN_051952	HI
HIN_051982	HI
HIN_052048	HI
HIN_052237	HI
HIN_053579	HI
HIN_053720	HI
HIN_053774	HI
HIN_054048	HI
HIN_054157	HI
HIN_054581	HI
HIN_054615	HI
HIN_054971	HI
HIN_054972	HI
HIN_055019	HI
HIN_055297	HI
HIN_056006	HI
HIN_056007	HI
HIN_056127	HI
HIN_056264	HI
HIN_056721	HI
HIN_056759	HI
HIN_057205	HI
HIN_057346	HI
HIN_057785	HI
HIN_058251	HI
HIN_058347	HI
HIN_058494	HI
HIN_058540	HI
HIN_058541	HI
HIN_058960	HI
HIN_059004	HI
HIN_059377	HI
HIN_059513	HI
HIN_059733	HI
HIN_060211	HI
HIN_060562	HI
HIN_060563	HI
HIN_060867	HI
HIN_060998	HI
HIN_061142	HI
HIN_061577	HI
HIN_061741	HI
HIN_062244	HI
HIN_062755	HI
HIN_062826	HI
HIN_062852	HI
HIN_062990	HI
HIN_063157	HI
HIN_063896	HI
HIN_064548	HI
HIN_064549	HI
HIN_064648	HI
HIN_064869	HI
HIN_064870	HI
HIN_065176	HI
HIN_065940	HI
HIN_066252	HI
HIN_066384	HI
HIN_066385	HI
HIN_066390	HI
HIN_066391	HI
HIN_066743	HI
HIN_066938	HI
HIN_067014	HI
HIN_067475	HI
HIN_067996	HI
HIN_068440	HI
HIN_068473	HI
HIN_068502	HI
HIN_068559	HI
HIN_068562	HI
HIN_068563	HI
HIN_068740	HI
HIN_068875	HI
HIN_068982	HI
HIN_069301	HI
HIN_069314	HI
HIN_069380	HI
HIN_069802	HI
HIN_069803	HI
HIN_070402	HI
HIN_070560	HI
HIN_070584	HI
HIN_070697	HI
HIN_070699	HI
HIN_070766	HI
HIN_070770	HI
HIN_070848	HI
HIN_071159	HI
HIN_072187	HI
HIN_072734	HI
HIN_073289	HI
HIN_073290	HI
HIN_073343	HI
HIN_073344	HI
HIN_073620	HI
HIN_073857	HI
HIN_073860	HI
HIN_074001	HI
HIN_074666	HI
HIN_075024	HI
HIN_075318	HI
HIN_075358	HI
HIN_075708	HI
HIN_076068	HI
HIN_076357	HI
HIN_076935	HI
HIN_077300	HI
HIN_079706	HI
HIN_079707	HI
HIN_079776	HI
HIN_080426	HI
HIN_080638	HI
HIN_080760	HI
HIN_080761	HI
HIN_080941	HI
HIN_081143	HI
HIN_081374	HI
HIN_081682	HI
HIN_081683	HI
HIN_081778	HI
HIN_082135	HI
HIN_082789	HI
HIN_083802	HI
HIN_083803	HI
HIN_083851	HI
HIN_083852	HI
HIN_083863	HI
HIN_085551	HI
HIN_085955	HI
HIN_086160	HI
HIN_086161	HI
HIN_086163	HI
HIN_086242	HI
HIN_086537	HI
HIN_087083	HI
HIN_087328	HI
HIN_088362	HI
HIN_088451	HI
HIN_088928	HI
HIN_089504	HI
HIN_089717	HI
HIN_090415	HI
HIN_091500	HI
HIN_092440	HI
HIN_092692	HI
HIN_094014	HI
HIN_094203	HI
HIN_094319	HI
HIN_094455	HI
HIN_094697	HI
HIN_095085	HI
HIN_095450	HI
HIN_095451	HI
