protein_id	specie
HIN_037343	hin
HIN_012676	hin
HIN_003570	hin
HIN_005423	hin
HIN_005425	hin
HIN_005430	hin
HIN_009106	hin
HIN_018568	hin
HIN_018769	hin
HIN_018770	hin
HIN_048042	hin
HIN_048045	hin
HIN_048878	hin
HIN_048897	hin
HIN_048913	hin
HIN_048948	hin
HIN_062783	hin
HIN_073881	hin
HIN_073895	hin
HIN_079079	hin
HIN_080919	hin
HIN_091159	hin
HIN_091867	hin
HIN_007494	hin
HIN_016560	hin
HIN_022404	hin
HIN_023503	hin
HIN_039421	hin
HIN_056207	hin
HIN_070739	hin
HIN_070743	hin
HIN_070749	hin
HIN_091218	hin
HIN_041957	hin
HIN_000414	hin
HIN_000418	hin
HIN_003893	hin
HIN_003894	hin
HIN_003906	hin
HIN_003936	hin
HIN_003954	hin
HIN_004113	hin
HIN_007233	hin
HIN_009657	hin
HIN_009694	hin
HIN_015988	hin
HIN_021025	hin
HIN_021027	hin
HIN_021047	hin
HIN_021075	hin
HIN_021079	hin
HIN_022025	hin
HIN_024644	hin
HIN_024646	hin
HIN_024675	hin
HIN_025368	hin
HIN_025422	hin
HIN_025456	hin
HIN_029649	hin
HIN_032083	hin
HIN_032110	hin
HIN_033143	hin
HIN_033176	hin
HIN_033177	hin
HIN_033202	hin
HIN_033214	hin
HIN_033706	hin
HIN_033707	hin
HIN_033711	hin
HIN_033724	hin
HIN_033733	hin
HIN_033735	hin
HIN_033736	hin
HIN_042604	hin
HIN_042616	hin
HIN_042642	hin
HIN_042725	hin
HIN_042726	hin
HIN_042757	hin
HIN_043846	hin
HIN_044911	hin
HIN_053882	hin
HIN_053883	hin
HIN_057278	hin
HIN_060711	hin
HIN_060967	hin
HIN_069129	hin
HIN_074077	hin
HIN_076540	hin
HIN_078209	hin
HIN_078211	hin
HIN_078508	hin
HIN_078512	hin
HIN_090273	hin
HIN_090281	hin
HIN_092029	hin
HIN_092038	hin
HIN_094292	hin
HIN_099011	hin
HIN_100711	hin
HIN_007694	hin
HIN_015476	hin
HIN_015478	hin
HIN_015484	hin
HIN_016486	hin
HIN_016488	hin
HIN_016491	hin
HIN_016619	hin
HIN_016638	hin
HIN_021759	hin
HIN_023468	hin
HIN_031107	hin
HIN_035226	hin
HIN_038189	hin
HIN_038715	hin
HIN_040600	hin
HIN_052300	hin
HIN_061072	hin
HIN_074309	hin
HIN_075919	hin
HIN_076466	hin
HIN_088613	hin
HIN_088616	hin
HIN_088623	hin
