0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
HIN_000257	56003bc8a2c6670ececdd449e1b22a80	433	SUPERFAMILY	SSF55394	Bactericidal permeability-increasing protein, BPI	51	210	6.54E-10	T	13-10-2020	IPR017943	Bactericidal permeability-increasing protein, alpha/beta domain superfamily	GO:0008289	
HIN_000257	56003bc8a2c6670ececdd449e1b22a80	433	Gene3D	G3DSA:3.15.20.10	-	217	301	1.5E-12	T	13-10-2020				
HIN_000257	56003bc8a2c6670ececdd449e1b22a80	433	Gene3D	G3DSA:3.15.10.10	-	52	216	1.5E-12	T	13-10-2020				
HIN_000524	44865eba3387b2bbf02d8625c9ea78e7	428	Gene3D	G3DSA:3.15.10.10	-	34	216	5.1E-17	T	13-10-2020				
HIN_000524	44865eba3387b2bbf02d8625c9ea78e7	428	SUPERFAMILY	SSF55394	Bactericidal permeability-increasing protein, BPI	53	221	7.59E-10	T	13-10-2020	IPR017943	Bactericidal permeability-increasing protein, alpha/beta domain superfamily	GO:0008289	
HIN_000524	44865eba3387b2bbf02d8625c9ea78e7	428	Gene3D	G3DSA:3.15.20.10	-	33	305	5.1E-17	T	13-10-2020				
HIN_000525	42711f33556da31ee43c1ce37ed4db7d	430	Gene3D	G3DSA:3.15.10.10	-	43	216	4.6E-18	T	13-10-2020				
HIN_000525	42711f33556da31ee43c1ce37ed4db7d	430	Gene3D	G3DSA:3.15.20.10	-	217	397	4.6E-18	T	13-10-2020				
HIN_000525	42711f33556da31ee43c1ce37ed4db7d	430	SUPERFAMILY	SSF55394	Bactericidal permeability-increasing protein, BPI	53	237	9.42E-11	T	13-10-2020	IPR017943	Bactericidal permeability-increasing protein, alpha/beta domain superfamily	GO:0008289	
HIN_000525	42711f33556da31ee43c1ce37ed4db7d	430	Coils	Coil	Coil	365	385	-	T	13-10-2020				
HIN_000537	2d246d8654d6f3e5f210fee3370b4f61	434	Gene3D	G3DSA:3.15.20.10	-	35	407	8.4E-20	T	13-10-2020				
HIN_000537	2d246d8654d6f3e5f210fee3370b4f61	434	SUPERFAMILY	SSF55394	Bactericidal permeability-increasing protein, BPI	57	240	7.85E-11	T	13-10-2020	IPR017943	Bactericidal permeability-increasing protein, alpha/beta domain superfamily	GO:0008289	
HIN_000537	2d246d8654d6f3e5f210fee3370b4f61	434	Gene3D	G3DSA:3.15.10.10	-	37	219	8.4E-20	T	13-10-2020				
HIN_000539	41444a813cd3d73924966cc8445a6c15	440	Gene3D	G3DSA:3.15.10.10	-	35	217	1.6E-17	T	13-10-2020				
HIN_000539	41444a813cd3d73924966cc8445a6c15	440	SUPERFAMILY	SSF55394	Bactericidal permeability-increasing protein, BPI	33	228	1.31E-13	T	13-10-2020	IPR017943	Bactericidal permeability-increasing protein, alpha/beta domain superfamily	GO:0008289	
HIN_000539	41444a813cd3d73924966cc8445a6c15	440	Gene3D	G3DSA:3.15.20.10	-	33	274	1.6E-17	T	13-10-2020				
HIN_000543	51b062261a11fa45a2badc17d0265bc0	431	Gene3D	G3DSA:3.15.10.10	-	49	216	2.2E-15	T	13-10-2020				
HIN_000543	51b062261a11fa45a2badc17d0265bc0	431	SUPERFAMILY	SSF55394	Bactericidal permeability-increasing protein, BPI	32	239	3.66E-15	T	13-10-2020	IPR017943	Bactericidal permeability-increasing protein, alpha/beta domain superfamily	GO:0008289	
HIN_000545	9d2da783f1b673411a51ca32b028bb52	434	Gene3D	G3DSA:3.15.10.10	-	35	217	1.7E-16	T	13-10-2020				
HIN_000545	9d2da783f1b673411a51ca32b028bb52	434	SUPERFAMILY	SSF55394	Bactericidal permeability-increasing protein, BPI	33	225	3.14E-13	T	13-10-2020	IPR017943	Bactericidal permeability-increasing protein, alpha/beta domain superfamily	GO:0008289	
HIN_000545	9d2da783f1b673411a51ca32b028bb52	434	Gene3D	G3DSA:3.15.20.10	-	33	274	1.7E-16	T	13-10-2020				
