protein_id	specie
HIN_000257	HI
HIN_000524	HI
HIN_000525	HI
HIN_000537	HI
HIN_000539	HI
HIN_000543	HI
HIN_000545	HI
HIN_002083	HI
HIN_002325	HI
HIN_002326	HI
HIN_002337	HI
HIN_002342	HI
HIN_002360	HI
HIN_002719	HI
HIN_004536	HI
HIN_005454	HI
HIN_007813	HI
HIN_007828	HI
HIN_009527	HI
HIN_009545	HI
HIN_009909	HI
HIN_010006	HI
HIN_010029	HI
HIN_010037	HI
HIN_010760	HI
HIN_010810	HI
HIN_010899	HI
HIN_016726	HI
HIN_016801	HI
HIN_017650	HI
HIN_017673	HI
HIN_022252	HI
HIN_022470	HI
HIN_023100	HI
HIN_023245	HI
HIN_023281	HI
HIN_024296	HI
HIN_024393	HI
HIN_024862	HI
HIN_024920	HI
HIN_025004	HI
HIN_025050	HI
HIN_025077	HI
HIN_025117	HI
HIN_025122	HI
HIN_025130	HI
HIN_025524	HI
HIN_027272	HI
HIN_027296	HI
HIN_027374	HI
HIN_027377	HI
HIN_030020	HI
HIN_031359	HI
HIN_031431	HI
HIN_031620	HI
HIN_032401	HI
HIN_034381	HI
HIN_034829	HI
HIN_035798	HI
HIN_035815	HI
HIN_037292	HI
HIN_038016	HI
HIN_038040	HI
HIN_038123	HI
HIN_038376	HI
HIN_038403	HI
HIN_038410	HI
HIN_038876	HI
HIN_038882	HI
HIN_038896	HI
HIN_039095	HI
HIN_040046	HI
HIN_040071	HI
HIN_040139	HI
HIN_040297	HI
HIN_040303	HI
HIN_040307	HI
HIN_040308	HI
HIN_042310	HI
HIN_045358	HI
HIN_045401	HI
HIN_046358	HI
HIN_046392	HI
HIN_047867	HI
HIN_047880	HI
HIN_047892	HI
HIN_048495	HI
HIN_048562	HI
HIN_048585	HI
HIN_049796	HI
HIN_050370	HI
HIN_050400	HI
HIN_050407	HI
HIN_051478	HI
HIN_051490	HI
HIN_052757	HI
HIN_052777	HI
HIN_053169	HI
HIN_054208	HI
HIN_054290	HI
HIN_055291	HI
HIN_056275	HI
HIN_057565	HI
HIN_062331	HI
HIN_065323	HI
HIN_065546	HI
HIN_065572	HI
HIN_066724	HI
HIN_066995	HI
HIN_070329	HI
HIN_071295	HI
HIN_071296	HI
HIN_071299	HI
HIN_071303	HI
HIN_071365	HI
HIN_071983	HI
HIN_071985	HI
HIN_071991	HI
HIN_071994	HI
HIN_072003	HI
HIN_072005	HI
HIN_074874	HI
HIN_074880	HI
HIN_074904	HI
HIN_075211	HI
HIN_076274	HI
HIN_076287	HI
HIN_076779	HI
HIN_077044	HI
HIN_077049	HI
HIN_077051	HI
HIN_077058	HI
HIN_077059	HI
HIN_077208	HI
HIN_077280	HI
HIN_078102	HI
HIN_078776	HI
HIN_079481	HI
HIN_079482	HI
HIN_079486	HI
HIN_079490	HI
HIN_079537	HI
HIN_079700	HI
HIN_084515	HI
HIN_084520	HI
HIN_084526	HI
HIN_084542	HI
HIN_084697	HI
HIN_084985	HI
HIN_086251	HI
HIN_086269	HI
HIN_087171	HI
HIN_087172	HI
HIN_087175	HI
HIN_093101	HI
HIN_094324	HI
HIN_096259	HI
HIN_096297	HI
HIN_096432	HI
HIN_096967	HI
HIN_100342	HI
HIN_003667	HI
HIN_005858	HI
HIN_006161	HI
HIN_006171	HI
HIN_006201	HI
HIN_006205	HI
HIN_006252	HI
HIN_007425	HI
HIN_011147	HI
HIN_011741	HI
HIN_014370	HI
HIN_014378	HI
HIN_014388	HI
HIN_014405	HI
HIN_014522	HI
HIN_020253	HI
HIN_023638	HI
HIN_023734	HI
HIN_023762	HI
HIN_023780	HI
HIN_023793	HI
HIN_024982	HI
HIN_025145	HI
HIN_025468	HI
HIN_026822	HI
HIN_027233	HI
HIN_027400	HI
HIN_027511	HI
HIN_030242	HI
HIN_032239	HI
HIN_037732	HI
HIN_038506	HI
HIN_040187	HI
HIN_040253	HI
HIN_052412	HI
HIN_053629	HI
HIN_058208	HI
HIN_059562	HI
HIN_067083	HI
HIN_079201	HI
HIN_081165	HI
HIN_081584	HI
HIN_091367	HI
HIN_097722	HI
HIN_098759	HI
HIN_100006	HI
HIN_003089	HI
HIN_005316	HI
HIN_005733	HI
HIN_005755	HI
HIN_014089	HI
HIN_026089	HI
HIN_026092	HI
HIN_026120	HI
HIN_028893	HI
HIN_039480	HI
HIN_039778	HI
HIN_041668	HI
HIN_046736	HI
HIN_046752	HI
HIN_046788	HI
HIN_046790	HI
HIN_054827	HI
HIN_058829	HI
HIN_067784	HI
HIN_071917	HI
HIN_077884	HI
HIN_079359	HI
HIN_080889	HI
HIN_080913	HI
HIN_085267	HI
HIN_086881	HI
HIN_086896	HI
HIN_088930	HI
HIN_090581	HI
HIN_090820	HI
HIN_091153	HI
HIN_093535	HI
HIN_093537	HI
HIN_095619	HI
HIN_095621	HI
HIN_002872	HI
HIN_002873	HI
HIN_002874	HI
HIN_015457	HI
HIN_015458	HI
HIN_015461	HI
HIN_015462	HI
HIN_015463	HI
HIN_015464	HI
HIN_015465	HI
HIN_015467	HI
HIN_015468	HI
HIN_015470	HI
HIN_015471	HI
HIN_015472	HI
HIN_015473	HI
HIN_016474	HI
HIN_016477	HI
HIN_016478	HI
HIN_016479	HI
HIN_016480	HI
HIN_016481	HI
HIN_016482	HI
HIN_016483	HI
HIN_088605	HI
HIN_088606	HI
HIN_088607	HI
HIN_088608	HI
HIN_088609	HI
HIN_099434	HI
HIN_099435	HI
HIN_011651	HI
HIN_021225	HI
HIN_022154	HI
HIN_057325	HI
HIN_059056	HI
HIN_069195	HI
HIN_074968	HI
HIN_090536	HI
HIN_008966	HI
HIN_029159	HI
HIN_078310	HI
HIN_096097	HI
HIN_006466	HI
HIN_006476	HI
HIN_006482	HI
HIN_006488	HI
HIN_006496	HI
HIN_006504	HI
HIN_008206	HI
HIN_008215	HI
HIN_008223	HI
HIN_008227	HI
HIN_008235	HI
HIN_046160	HI
HIN_046168	HI
HIN_046176	HI
HIN_046181	HI
HIN_046190	HI
HIN_100741	HI
HIN_005310	HI
HIN_010655	HI
HIN_010656	HI
HIN_010789	HI
HIN_037950	HI
HIN_038023	HI
HIN_048578	HI
HIN_048637	HI
HIN_063270	HI
HIN_071911	HI
HIN_082268	HI
HIN_082269	HI
HIN_082270	HI
HIN_082271	HI
HIN_082955	HI
HIN_088926	HI
HIN_090586	HI
HIN_026336	HI
HIN_026722	HI
HIN_026827	HI
HIN_026832	HI
HIN_026833	HI
HIN_039232	HI
HIN_039315	HI
HIN_045896	HI
HIN_059565	HI
HIN_081577	HI
HIN_081578	HI
HIN_081582	HI
HIN_017413	HI
HIN_017599	HI
HIN_047832	HI
HIN_049188	HI
HIN_052701	HI
HIN_067467	HI
HIN_076365	HI
HIN_018706	HI
HIN_023939	HI
HIN_030686	HI
HIN_068003	HI
HIN_071075	HI
HIN_073560	HI
HIN_073562	HI
HIN_074321	HI
HIN_074327	HI
HIN_079038	HI
HIN_083125	HI
HIN_034807	HI
HIN_037528	HI
HIN_049369	HI
HIN_061603	HI
HIN_061813	HI
HIN_070348	HI
HIN_081291	HI
HIN_001518	HI
HIN_001668	HI
HIN_014873	HI
HIN_015026	HI
HIN_022335	HI
HIN_022336	HI
HIN_036720	HI
HIN_037235	HI
HIN_037248	HI
HIN_044194	HI
HIN_044210	HI
HIN_056532	HI
HIN_064485	HI
HIN_064503	HI
HIN_004438	HI
HIN_031673	HI
HIN_031675	HI
HIN_062582	HI
HIN_018417	HI
HIN_033396	HI
HIN_055732	HI
HIN_024142	HI
HIN_069035	HI
HIN_083568	HI
HIN_039476	HI
HIN_070185	HI
HIN_070707	HI
HIN_070710	HI
HIN_077888	HI
HIN_097837	HI
HIN_097961	HI
HIN_041600	HI
HIN_054512	HI
HIN_058869	HI
HIN_061146	HI
HIN_090124	HI
HIN_090160	HI
HIN_093805	HI
HIN_044081	HI
HIN_052449	HI
HIN_052451	HI
HIN_095697	HI
HIN_016094	HI
HIN_065712	HI
HIN_065713	HI
HIN_070924	HI
HIN_019673	HI
HIN_019675	HI
HIN_076900	HI
HIN_076902	HI
HIN_097175	HI
HIN_100911	HI
HIN_020826	HI
HIN_058536	HI
HIN_064692	HI
HIN_091211	HI
HIN_033832	HI
HIN_033835	HI
HIN_034205	HI
HIN_067940	HI
HIN_067945	HI
HIN_002947	HI
HIN_002956	HI
HIN_078665	HI
HIN_080166	HI
HIN_083321	HI
HIN_014511	HI
HIN_014513	HI
HIN_023643	HI
HIN_023644	HI
HIN_081159	HI
HIN_081160	HI
HIN_023914	HI
HIN_030656	HI
HIN_030663	HI
HIN_067978	HI
HIN_071038	HI
HIN_074347	HI
HIN_028364	HI
HIN_053053	HI
HIN_062198	HI
HIN_080819	HI
HIN_028367	HI
HIN_053055	HI
HIN_062196	HI
HIN_080519	HI
HIN_080821	HI
HIN_084458	HI
HIN_094096	HI
HIN_000460	HI
HIN_000462	HI
HIN_076559	HI
HIN_076562	HI
HIN_078179	HI
HIN_006050	HI
HIN_014265	HI
HIN_023892	HI
HIN_029925	HI
HIN_007760	HI
HIN_038806	HI
HIN_098410	HI
HIN_100668	HI
HIN_043326	HI
HIN_050677	HI
HIN_075686	HI
HIN_075688	HI
HIN_094175	HI
HIN_057032	HI
HIN_066360	HI
HIN_097889	HI
HIN_003107	HI
HIN_027089	HI
HIN_027944	HI
HIN_039091	HI
HIN_007695	HI
HIN_038716	HI
HIN_090445	HI
HIN_015319	HI
HIN_029546	HI
HIN_086018	HI
HIN_016195	HI
HIN_040688	HI
HIN_040695	HI
HIN_094064	HI
HIN_022637	HI
HIN_028558	HI
HIN_043048	HI
HIN_043561	HI
HIN_051198	HI
HIN_075134	HI
HIN_093009	HI
HIN_051815	HI
HIN_063321	HI
HIN_091596	HI
HIN_001644	HI
HIN_014999	HI
HIN_019306	HI
HIN_053451	HI
HIN_067201	HI
HIN_021085	HI
HIN_032076	HI
HIN_059708	HI
HIN_022132	HI
HIN_069168	HI
HIN_074993	HI
HIN_023344	HI
HIN_038260	HI
HIN_050233	HI
HIN_002255	HI
HIN_016025	HI
HIN_100549	HI
TPC1_10088	TP
TPC1_10538	TP
TPC1_12198	TP
TPC1_13590	TP
TPC1_14570	TP
TPC1_15211	TP
TPC1_16462	TP
TPC1_10796	TP
TPC1_11456	TP
TPC1_15273	TP
TPC1_16048	TP
TPC1_17007	TP
TPC1_17362	TP
TPC1_17693	TP
TPC1_11174	TP
TPC1_13336	TP
TPC1_15170	TP
TPC1_15330	TP
TPC1_16718	TP
TPC1_16995	TP
TPC1_17161	TP
TPC1_11137	TP
TPC1_10152	TP
TPC1_10334	TP
TPC1_10534	TP
TPC1_13584	TP
TPC1_15526	TP
TPC1_17734	TP
TPC1_30614	TP
TPC1_15985	TP
TPC1_14141	TP
TPC1_15136	TP
TPC1_15413	TP
TPC1_16287	TP
TPC1_17212	TP
TPC1_11078	TP
TPC1_16784	TP
TPC1_17865	TP
TPC1_11874	TP
TPC1_17217	TP
TPC1_11964	TP
TPC1_17853	TP
TPC1_10071	TP
TPC1_12142	TP
TPC1_14897	TP
TPC1_30554	TP
TPC1_14740	TP
TPC1_15380	TP
TPC1_15648	TP
TPC1_13501	TP
TPC1_11615	TP
TPC1_13076	TP
TPC1_14076	TP
TPC1_20113	TP
TPC1_15923	TP
TPC1_15943	TP
TPC1_13001	TP
TPC1_16747	TP
TPC1_16664	TP
TPC1_10745	TP
TPC1_15634	TP
TPC1_15967	TP
TPC1_12584	TP
TPC1_13242	TP
