OG	id	desc
OG0000195	SS50377_21974	Hypothetical protein
OG0000195	SS50377_22033	Hypothetical protein
OG0000195	SS50377_25543	Hypothetical protein
OG0000195	SS50377_26804	Hypothetical protein
OG0000195	SS50377_27345	Hypothetical protein
OG0000195	SS50377_27653	Hypothetical protein
OG0000195	SS50377_27712	Hypothetical protein
OG0000377	SS50377_24372	Transmembrane domain-containing protein
OG0000377	SS50377_24405	Nucleotidyl cyclase
OG0000403	SS50377_20078	Hypothetical protein
OG0000403	SS50377_23600	Hypothetical protein
OG0000497	SS50377_24705	Cathepsin L
OG0000497	SS50377_24907	Cathepsin L
OG0000497	SS50377_26948	Cathepsin L
OG0000497	SS50377_27860	Cathepsin L
OG0000497	SS50377_27871	Cathepsin L
OG0000497	SS50377_28422	Cathepsin L
OG0000501	SS50377_22811	Superoxide reductase
OG0000501	SS50377_22819	Superoxide reductase
OG0000536	SS50377_21404	Hypothetical protein
OG0000536	SS50377_21468	Neurogenic locus notch-like protein
OG0000536	SS50377_21479	Neurogenic locus notch-like protein
OG0000575	SS50377_20724	Thioredoxin domain-containing protein
OG0000575	SS50377_20736	Thioredoxin domain-containing protein
OG0000575	SS50377_20750	Thioredoxin domain-containing protein
OG0000575	SS50377_24449	Thioredoxin domain-containing protein
OG0000575	SS50377_27213	Thioredoxin domain-containing protein
OG0000675	SS50377_20848	Hypothetical protein
OG0000883	SS50377_27569	5'-3' deoxyribonucleotidase
OG0000899	SS50377_23117	Hypothetical protein
OG0000919	SS50377_26998	SNARE
OG0001007	SS50377_20264	Hypothetical protein
OG0001007	SS50377_23336	Hypothetical protein
OG0001129	SS50377_21242	TRNA dihydrouridine synthase
OG0001189	SS50377_23167	Transmembrane domain-containing protein
OG0001189	SS50377_23373	Putative phosphate transporter
OG0001196	SS50377_22869	Hypothetical protein
OG0001196	SS50377_28257	Hypothetical protein
OG0001203	SS50377_20268	Hypothetical protein
OG0001203	SS50377_23161	Hypothetical protein
OG0001203	SS50377_23162	Hypothetical protein
OG0001203	SS50377_23339	Hypothetical protein
OG0001203	SS50377_24749	Hypothetical protein
OG0001421	SS50377_22729	Kinase, CAMK CAMKL
OG0001435	SS50377_20855	Hypothetical protein
OG0001511	SS50377_23755	Hypothetical protein
OG0001512	SS50377_26445	Glycolipid transfer protein
OG0001559	SS50377_24344	Hypothetical protein
OG0001574	SS50377_22267	Hypothetical protein
OG0001594	SS50377_24611	Lysophospholipid acyltransferase
OG0001629	SS50377_24328	Ras-like GTPase superfamily protein
OG0001632	SS50377_26810	Hypothetical protein
OG0001646	SS50377_23657	Xaa-Pro aminopeptidase
OG0001679	SS50377_25050	Palmitoyltransferase
OG0001794	SS50377_20080	Hypothetical protein
OG0001899	SS50377_25987	Kinase, CMGC CDK
OG0001917	SS50377_24390	Hypothetical protein
OG0001919	SS50377_20559	Hypothetical protein
OG0001919	SS50377_20563	Hypothetical protein
OG0001928	SS50377_20274	Hypothetical protein
OG0001928	SS50377_23186	Myb-like DNA-binding domain-containing protein
OG0001995	SS50377_23494	Hypothetical protein
OG0001995	SS50377_26980	Hypothetical protein
OG0002006	SS50377_20777	Syntaphilin family protein
OG0002047	SS50377_25338	Hypothetical protein
OG0002054	SS50377_24280	Serine/threonine-protein phosphatase
OG0002095	SS50377_23725	ATP-dependent RNA helicase
OG0002105	SS50377_26841	Kinase, CMGC CDK
OG0002165	SS50377_25427	Hypothetical protein
OG0002165	SS50377_25428	Hypothetical protein
OG0002205	SS50377_25299	Hypothetical protein
OG0002205	SS50377_26355	Transglutaminase-like superfamily protein
OG0002205	SS50377_27611	Hypothetical protein
OG0002216	SS50377_25765	GYF domain-containing protein
OG0002239	SS50377_21090	Eukaryotic initiation factor 4E
OG0002246	SS50377_20360	Hypothetical protein
OG0002278	SS50377_28000	Hypothetical protein
OG0002282	SS50377_20028	TLD family protein
OG0002282	SS50377_26362	TLD domain-containing protein
OG0002284	SS50377_23544	Kinase, CAMKK
OG0002306	SS50377_27913	Hypothetical protein
OG0002306	SS50377_28158	Hypothetical protein
OG0002306	SS50377_28169	Hypothetical protein
OG0002376	SS50377_20022	Hypothetical protein
OG0002381	SS50377_26107	Transmembrane domain-containing protein
OG0002381	SS50377_26111	Transmembrane domain-containing protein
OG0002390	SS50377_20099	Hypothetical protein
OG0002391	SS50377_23660	Haloacid dehalogenase-like hydrolase family protein
OG0002396	SS50377_22210	Hypothetical protein
OG0002405	SS50377_20370	Hypothetical protein
OG0002434	SS50377_22339	Hypothetical protein
OG0002435	SS50377_22401	Hypothetical protein
OG0002435	SS50377_24529	Hypothetical protein
OG0002437	SS50377_25684	Hypothetical protein
OG0002460	SS50377_27336	Hypothetical protein
OG0002467	SS50377_28235	Trichohyalin-plectin-homology domain-containing protein
OG0002470	SS50377_24791	Kinase, CAMK CAMKL
OG0002470	SS50377_24813	Kinase, CAMK CAMKL
OG0002475	SS50377_26157	Transmembrane domain-containing protein
OG0002478	SS50377_22310	NLI interacting factor-like phosphatase domain-containing protein
OG0002478	SS50377_27218	NLI interacting factor-like phosphatase
OG0002481	SS50377_24628	Tetratricopeptide repeat-containing protein
OG0002481	SS50377_27490	Tetratricopeptide repeat protein
OG0002573	SS50377_20863	MATE efflux family protein
OG0002573	SS50377_27470	Na+ driven multidrug efflux pump
OG0002590	SS50377_20301	Hypothetical protein
OG0002609	SS50377_25343	SNARE
OG0002638	SS50377_24392	Hypothetical protein
OG0002638	SS50377_26213	Hypothetical protein
OG0002638	SS50377_26237	Hypothetical protein
OG0002675	SS50377_23937	Hypothetical protein
OG0002691	SS50377_21188	Hypothetical protein
OG0002692	SS50377_20314	RNA recognition motif-containing protein
OG0002722	SS50377_28345	Hypothetical protein
OG0002723	SS50377_20597	Hypothetical protein
OG0002723	SS50377_28781	Hypothetical protein
OG0002742	SS50377_25122	Putative serine esterase
OG0002788	SS50377_28213	Hypothetical protein
OG0002790	SS50377_24499	Kinase
OG0002820	SS50377_28072	Hypothetical protein
OG0002826	SS50377_20079	Hypothetical protein
OG0002859	SS50377_27219	Uridine kinase
OG0002859	SS50377_27220	Uridine kinase
OG0002860	SS50377_22451	SNARE
OG0002862	SS50377_28099	Hypothetical protein
OG0002874	SS50377_23337	Protein phosphatase PP2A regulatory subunit A
OG0002892	SS50377_22562	Kinetochore protein nuf2
OG0002892	SS50377_26844	Nuf2 family protein
OG0002898	SS50377_20857	Hypothetical protein
OG0002909	SS50377_22439	Hypothetical protein
OG0002913	SS50377_27953	Hypothetical protein
OG0002913	SS50377_27965	Hypothetical protein
OG0002931	SS50377_20042	Proteasome activator pa28 beta subunit
OG0002957	SS50377_23371	Hypothetical protein
OG0003005	SS50377_26745	Signal recognition particle
OG0003021	SS50377_28433	Hypothetical protein
OG0003024	SS50377_23146	Hypothetical protein
OG0003073	SS50377_23166	GDSL-like Lipase/Acylhydrolase family protein
OG0003083	SS50377_27684	Hypothetical protein
OG0003139	SS50377_25558	Hypothetical protein
