id	desc
HIN_000001	HIN_000001 Hypothetical protein
HIN_000002	HIN_000002 F5/8 type C domain-containing protein
HIN_000003	HIN_000003 Hypothetical protein
HIN_000004	HIN_000004 Hypothetical protein
HIN_000005	HIN_000005 Hypothetical protein
HIN_000006	HIN_000006 Conserved hypothetical protein
HIN_000007	HIN_000007 Hypothetical protein
HIN_000009	HIN_000009 NADPH oxidoreductase
HIN_000010	HIN_000010 Hypothetical protein
HIN_000013	HIN_000013 Hypothetical protein
HIN_000014	HIN_000014 Hypothetical protein
HIN_000015	HIN_000015 Ankyrin repeat-containing protein
HIN_000016	HIN_000016 Conserved hypothetical protein
HIN_000017	HIN_000017 Hypothetical protein
HIN_000018	HIN_000018 Hypothetical protein
HIN_000019	HIN_000019 Hypothetical protein
HIN_000020	HIN_000020 Putative ephrin-receptor like protein
HIN_000021	HIN_000021 Conserved hypothetical protein
HIN_000023	HIN_000023 Hypothetical protein
HIN_000024	HIN_000024 Ras-related protein Rap-1b
HIN_000025	HIN_000025 Dynamin
HIN_000026	HIN_000026 Kinase, STE STE20
HIN_000028	HIN_000028 Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase
HIN_000029	HIN_000029 Conserved hypothetical protein
HIN_000030	HIN_000030 Myb-like DNA-binding domain-containing protein
HIN_000031	HIN_000031 Sec61 alpha family protein
HIN_000032	HIN_000032 Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
HIN_000034	HIN_000034 Hypothetical protein
HIN_000035	HIN_000035 TRNA/rRNA cytosine-C5-methylase
HIN_000036	HIN_000036 Conserved hypothetical protein
HIN_000037	HIN_000037 Hypothetical protein
HIN_000038	HIN_000038 Conserved hypothetical protein
HIN_000039	HIN_000039 Hypothetical protein
HIN_000040	HIN_000040 ADP-ribosylation factor 1
HIN_000041	HIN_000041 Hypothetical protein
HIN_000042	HIN_000042 Hypothetical protein
HIN_000043	HIN_000043 ADP-ribosylation factor 1
HIN_000044	HIN_000044 Hypothetical protein
HIN_000046	HIN_000046 Hypothetical protein
HIN_000047	HIN_000047 Hypothetical protein
HIN_000048	HIN_000048 Hypothetical protein
HIN_000049	HIN_000049 ADP-ribosylation factor 1
HIN_000050	HIN_000050 Hypothetical protein
HIN_000051	HIN_000051 Tubulin tyrosine ligase
HIN_000052	HIN_000052 Conserved hypothetical protein
HIN_000053	HIN_000053 Conserved hypothetical protein
HIN_000054	HIN_000054 Hypothetical protein
HIN_000057	HIN_000057 Hypothetical protein
