OG	id	desc
OG0000004	HIN_000231	HIN_000231 Transposase IS4
OG0000004	HIN_000254	HIN_000254 Hypothetical protein
OG0000004	HIN_000347	HIN_000347 Hypothetical protein
OG0000004	HIN_000529	HIN_000529 Transposase IS4
OG0000004	HIN_000530	HIN_000530 Hypothetical protein
OG0000004	HIN_000821	HIN_000821 PiggyBac transposable element-derived protein
OG0000004	HIN_001109	HIN_001109 Transposase IS4
OG0000004	HIN_001110	HIN_001110 Hypothetical protein
OG0000004	HIN_001345	HIN_001345 Transposase IS4
OG0000004	HIN_001959	HIN_001959 Hypothetical protein
OG0000004	HIN_002824	HIN_002824 Hypothetical protein
OG0000004	HIN_002907	HIN_002907 Hypothetical protein
OG0000004	HIN_002976	HIN_002976 Transposase IS4
OG0000004	HIN_002977	HIN_002977 Hypothetical protein
OG0000004	HIN_003031	HIN_003031 Hypothetical protein
OG0000004	HIN_003032	HIN_003032 Transposase IS4
OG0000004	HIN_003044	HIN_003044 Transposase IS4
OG0000004	HIN_003359	HIN_003359 Transposase IS4
OG0000004	HIN_003513	HIN_003513 PiggyBac transposable element-derived protein
OG0000004	HIN_003595	HIN_003595 Transposase IS4
OG0000004	HIN_003993	HIN_003993 PiggyBac transposable element-derived protein
OG0000004	HIN_004339	HIN_004339 Transposase IS4
OG0000004	HIN_004340	HIN_004340 Transposase IS4
OG0000004	HIN_004386	HIN_004386 Transposase IS4
OG0000004	HIN_004606	HIN_004606 Transposase IS4
OG0000004	HIN_004710	HIN_004710 Transposase IS4
OG0000004	HIN_005185	HIN_005185 Transposase IS4
OG0000004	HIN_005186	HIN_005186 Transposase IS4
OG0000004	HIN_005208	HIN_005208 Transposase IS4
OG0000004	HIN_005599	HIN_005599 PiggyBac transposable element-derived protein
OG0000004	HIN_005638	HIN_005638 Hypothetical protein
OG0000004	HIN_005647	HIN_005647 Hypothetical protein
OG0000004	HIN_005648	HIN_005648 Transposase IS4
OG0000004	HIN_006494	HIN_006494 Hypothetical protein
OG0000004	HIN_006514	HIN_006514 Transposase IS4
OG0000004	HIN_006521	HIN_006521 Transposase IS4
OG0000004	HIN_006782	HIN_006782 Transposase IS4
OG0000004	HIN_006783	HIN_006783 PiggyBac transposable element-derived protein
OG0000004	HIN_007691	HIN_007691 Hypothetical protein
OG0000004	HIN_007863	HIN_007863 Hypothetical protein
OG0000004	HIN_007864	HIN_007864 PiggyBac transposable element-derived protein
OG0000004	HIN_008014	HIN_008014 Hypothetical protein
OG0000004	HIN_008103	HIN_008103 Hypothetical protein
OG0000004	HIN_009300	HIN_009300 Transposase IS4
OG0000004	HIN_009301	HIN_009301 Transposase IS4
OG0000004	HIN_009464	HIN_009464 Transposase IS4
OG0000004	HIN_009465	HIN_009465 PiggyBac transposable element-derived protein
OG0000004	HIN_010208	HIN_010208 Hypothetical protein
OG0000004	HIN_010292	HIN_010292 Transposase IS4
OG0000004	HIN_010360	HIN_010360 Hypothetical protein
OG0000004	HIN_010361	HIN_010361 Hypothetical protein
OG0000004	HIN_010368	HIN_010368 Transposase IS4
OG0000004	HIN_010782	HIN_010782 Hypothetical protein
OG0000004	HIN_010815	HIN_010815 PiggyBac transposable element-derived protein
OG0000004	HIN_010816	HIN_010816 Transposase IS4
OG0000004	HIN_010825	HIN_010825 PiggyBac transposable element-derived protein
OG0000004	HIN_011472	HIN_011472 Transposase IS4
OG0000004	HIN_012533	HIN_012533 Hypothetical protein
OG0000004	HIN_012620	HIN_012620 Transposase IS4
OG0000004	HIN_012670	HIN_012670 Hypothetical protein
OG0000004	HIN_012671	HIN_012671 Transposase IS4
OG0000004	HIN_012869	HIN_012869 Na+ driven multidrug efflux pump
OG0000004	HIN_013805	HIN_013805 Hypothetical protein
OG0000004	HIN_013806	HIN_013806 Transposase IS4
OG0000004	HIN_013890	HIN_013890 Hypothetical protein
OG0000004	HIN_013992	HIN_013992 Transposase IS4
OG0000004	HIN_013995	HIN_013995 Transposase IS4
OG0000004	HIN_014044	HIN_014044 Transposase IS4
OG0000004	HIN_014336	HIN_014336 Transposase IS4
OG0000004	HIN_014502	HIN_014502 Transposase IS4
OG0000004	HIN_014963	HIN_014963 Transposase IS4
OG0000004	HIN_014964	HIN_014964 Hypothetical protein
OG0000004	HIN_015077	HIN_015077 Transposase IS4
OG0000004	HIN_015088	HIN_015088 Hypothetical protein
OG0000004	HIN_015335	HIN_015335 PiggyBac transposable element-derived protein
OG0000004	HIN_015336	HIN_015336 Transposase IS4
OG0000004	HIN_015577	HIN_015577 Transposase IS4
OG0000004	HIN_015821	HIN_015821 Transposase IS4
OG0000004	HIN_015956	HIN_015956 Transposase IS4
OG0000004	HIN_016495	HIN_016495 Hypothetical protein
OG0000004	HIN_016496	HIN_016496 Hypothetical protein
OG0000004	HIN_016615	HIN_016615 PiggyBac transposable element-derived protein
OG0000004	HIN_016616	HIN_016616 Transposase IS4
OG0000004	HIN_016709	HIN_016709 Transposase IS4
OG0000004	HIN_016853	HIN_016853 Hypothetical protein
OG0000004	HIN_016854	HIN_016854 Transposase IS4
OG0000004	HIN_017166	HIN_017166 PiggyBac transposable element-derived protein
OG0000004	HIN_017167	HIN_017167 Transposase IS4
OG0000004	HIN_017221	HIN_017221 Transposase IS4
OG0000004	HIN_017405	HIN_017405 Hypothetical protein
OG0000004	HIN_017406	HIN_017406 Transposase IS4
OG0000004	HIN_017597	HIN_017597 Hypothetical protein
OG0000004	HIN_017632	HIN_017632 Transposase IS4
OG0000004	HIN_018753	HIN_018753 PiggyBac transposable element-derived protein
OG0000004	HIN_018894	HIN_018894 Hypothetical protein
OG0000004	HIN_019128	HIN_019128 Transposase IS4
