protein_id	specie
GL50803_60030	GL
GL50803_d113304	GL
GL50803_d15250	GL
GL50803_113836	GL
GL50803_15250	GL
GL50803_113304	GL
GL50803_26894	GL
GL50803_113297	GL
GL50803_50028	GL
GL50803_116477	GL
GL50803_87706	GL
GL50803_50041	GL
GL50803_16374	GL
GL50803_39904	GL
GL50803_114813	GL
GL50803_137605	GL
GL50803_114891	GL
GL50803_50057	GL
GL50803_117440	GL
GL50803_d117440	GL
GL50803_113213	GL
GL50803_14586	GL
GL50803_d14586	GL
GL50803_14783	GL
GL50803_50064	GL
GL50803_50066	GL
GL50803_112207	GL
GL50803_50070	GL
GL50803_13390	GL
GL50803_137722	GL
GL50803_137723	GL
GL50803_37093	GL
GL50803_137721	GL
GL50803_91707	GL
GL50803_114089	GL
GL50803_101496	GL
GL50803_113319	GL
GL50803_28057	GL
GL50803_32607	GL
GL50803_137717	GL
GL50803_137715	GL
GL50803_137714	GL
GL50803_11470	GL
GL50803_16472	GL
GL50803_112693	GL
GL50803_41472	GL
GL50803_10659	GL
GL50803_137708	GL
GL50803_137707	GL
GL50803_40376	GL
GL50803_4313	GL
GL50803_11690	GL
GL50803_11692	GL
GL50803_15475	GL
GL50803_115742	GL
GL50803_50100	GL
GL50803_50101	GL
GL50803_50102	GL
GL50803_94003	GL
GL50803_102662	GL
GL50803_d14331	GL
GL50803_14331	GL
GL50803_16318	GL
GL50803_137617	GL
GL50803_115158	GL
GL50803_25816	GL
GL50803_137672	GL
GL50803_50116	GL
GL50803_111732	GL
GL50803_113531	GL
GL50803_16716	GL
GL50803_25238	GL
GL50803_16721	GL
GL50803_137681	GL
GL50803_50124	GL
GL50803_112584	GL
GL50803_50127	GL
GL50803_41401	GL
GL50803_113242	GL
GL50803_114626	GL
GL50803_15008	GL
GL50803_114617	GL
GL50803_137604	GL
GL50803_137697	GL
GL50803_13194	GL
GL50803_41626	GL
GL50803_50143	GL
GL50803_12063	GL
GL50803_103454	GL
GL50803_17476	GL
GL50803_41942	GL
GL50803_9276	GL
GL50803_40591	GL
GL50803_115202	GL
GL50803_103943	GL
GL50803_16501	GL
GL50803_d16501	GL
GL50803_137618	GL
GL50803_112432	GL
GL50803_14043	GL
GL50803_32933	GL
GL50803_113987	GL
GL50803_50163	GL
GL50803_114930	GL
GL50803_50165	GL
GL50803_112867	GL
GL50803_28626	GL
GL50803_17212	GL
GL50803_50169	GL
GL50803_d103992	GL
GL50803_103992	GL
GL50803_114042	GL
GL50803_137606	GL
GL50803_50181	GL
GL50803_11309	GL
GL50803_137608	GL
GL50803_5812	GL
GL50803_113357	GL
GL50803_137620	GL
GL50803_221693	GL
GL50803_114162	GL
GL50803_113024	GL
GL50803_50221	GL
GL50803_d50221	GL
GL50803_50225	GL
GL50803_17380	GL
GL50803_104087	GL
GL50803_21321	GL
GL50803_50229	GL
GL50803_d50229	GL
GL50803_14017	GL
GL50803_16842	GL
GL50803_50233	GL
GL50803_112828	GL
GL50803_50259	GL
GL50803_15317	GL
GL50803_d112801	GL
GL50803_112801	GL
GL50803_111933	GL
GL50803_111936	GL
GL50803_103142	GL
GL50803_101074	GL
GL50803_114852	GL
GL50803_112633	GL
GL50803_119706	GL
GL50803_119707	GL
GL50803_101380	GL
GL50803_14831	GL
GL50803_9003	GL
GL50803_50289	GL
GL50803_50290	GL
GL50803_102178	GL
GL50803_6372	GL
GL50803_91099	GL
GL50803_115830	GL
GL50803_115831	GL
GL50803_113512	GL
GL50803_137740	GL
GL50803_114470	GL
GL50803_137744	GL
GL50803_29147	GL
GL50803_24880	GL
GL50803_16936	GL
GL50803_15521	GL
GL50803_113801	GL
GL50803_113797	GL
GL50803_7715	GL
GL50803_14324	GL
GL50803_7946	GL
GL50803_113723	GL
GL50803_137752	GL
GL50803_114180	GL
GL50803_136003	GL
GL50803_136004	GL
GL50803_16158	GL
GL50803_d101765	GL
GL50803_101765	GL
GL50803_50317	GL
GL50803_114674	GL
GL50803_137613	GL
GL50803_101589	GL
GL50803_112305	GL
GL50803_112135	GL
GL50803_50332	GL
GL50803_d11521	GL
GL50803_11521	GL
GL50803_101832	GL
GL50803_d117204	GL
GL50803_117204	GL
GL50803_16454	GL
GL50803_113416	GL
GL50803_8595	GL
GL50803_113439	GL
GL50803_113450	GL
GL50803_9620	GL
GL50803_50345	GL
GL50803_27717	GL
GL50803_101010	GL
GL50803_115066	GL
GL50803_115047	GL
GL50803_33279	GL
GL50803_6509	GL
GL50803_114991	GL
GL50803_137732	GL
GL50803_117472	GL
GL50803_117473	GL
GL50803_11772	GL
GL50803_137729	GL
GL50803_15400	GL
GL50803_50359	GL
GL50803_134710	GL
GL50803_50363	GL
GL50803_137727	GL
GL50803_50366	GL
GL50803_50370	GL
GL50803_137614	GL
GL50803_137691	GL
GL50803_112126	GL
GL50803_137612	GL
GL50803_112113	GL
GL50803_50375	GL
GL50803_13727	GL
GL50803_13728	GL
GL50803_41227	GL
GL50803_50379	GL
GL50803_50380	GL
GL50803_101805	GL
GL50803_22547	GL
GL50803_14791	GL
GL50803_d115797	GL
GL50803_115797	GL
GL50803_d112208	GL
GL50803_112208	GL
GL50803_17328	GL
GL50803_50391	GL
GL50803_50392	GL
GL50803_112647	GL
GL50803_112673	GL
GL50803_89315	GL
GL50803_d26981	GL
GL50803_26981	GL
GL50803_113163	GL
GL50803_87628	GL
GL50803_7748	GL
GL50803_38901	GL
GL50803_50443	GL
