0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
HIN_037343	9a5027edb89b6f067a1c6ced53dfccf9	454	Pfam	PF03152	Ubiquitin fusion degradation protein UFD1	49	192	3.8E-16	T	14-10-2020	IPR004854	Ubiquitin fusion degradation protein Ufd1-like	GO:0006511	Reactome: R-HSA-110320|Reactome: R-HSA-5689880
HIN_037343	9a5027edb89b6f067a1c6ced53dfccf9	454	Gene3D	G3DSA:2.40.40.50	-	29	141	6.3E-6	T	14-10-2020	IPR042299	Ufd1-like, Nn domain		Reactome: R-HSA-110320|Reactome: R-HSA-5689880
HIN_037343	9a5027edb89b6f067a1c6ced53dfccf9	454	PANTHER	PTHR12555	UBIQUITIN FUSION DEGRADATON PROTEIN 1	78	209	5.4E-12	T	14-10-2020	IPR004854	Ubiquitin fusion degradation protein Ufd1-like	GO:0006511	Reactome: R-HSA-110320|Reactome: R-HSA-5689880
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	ProSiteProfiles	PS51352	Thioredoxin domain profile.	3	109	14.951	T	14-10-2020	IPR013766	Thioredoxin domain		
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	MobiDBLite	mobidb-lite	consensus disorder prediction	1095	1137	-	T	14-10-2020				
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	SUPERFAMILY	SSF54001	Cysteine proteinases	1282	1453	1.1E-8	T	14-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	Gene3D	G3DSA:3.40.30.10	Glutaredoxin	2	133	1.6E-31	T	14-10-2020	IPR036249	Thioredoxin-like superfamily		
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	MobiDBLite	mobidb-lite	consensus disorder prediction	1115	1137	-	T	14-10-2020				
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	PRINTS	PR00421	Thioredoxin family signature	73	84	5.8E-5	T	14-10-2020				
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	PRINTS	PR00421	Thioredoxin family signature	24	32	5.8E-5	T	14-10-2020				
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	PRINTS	PR00421	Thioredoxin family signature	32	41	5.8E-5	T	14-10-2020				
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	PANTHER	PTHR45672	PROTEIN DISULFIDE-ISOMERASE C17H9.14C-RELATED	6	110	3.8E-28	T	14-10-2020				
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	SUPERFAMILY	SSF52833	Thioredoxin-like	4	107	2.9E-28	T	14-10-2020	IPR036249	Thioredoxin-like superfamily		
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	ProSitePatterns	PS00194	Thioredoxin family active site.	25	43	-	T	14-10-2020	IPR017937	Thioredoxin, conserved site		
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	CDD	cd02961	PDI_a_family	10	104	5.59688E-37	T	14-10-2020				
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	Gene3D	G3DSA:3.40.395.10	Adenoviral Proteinase; Chain A	1326	1456	1.9E-6	T	14-10-2020				
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	Pfam	PF00085	Thioredoxin	21	105	4.6E-25	T	14-10-2020	IPR013766	Thioredoxin domain		
HIN_003570	5c7cafb8f3457734666e4bb416b67436	387	Gene3D	G3DSA:3.60.21.10	-	127	374	1.4E-11	T	13-10-2020	IPR029052	Metallo-dependent phosphatase-like		
HIN_003570	5c7cafb8f3457734666e4bb416b67436	387	CDD	cd00838	MPP_superfamily	132	308	2.66235E-4	T	13-10-2020				
HIN_003570	5c7cafb8f3457734666e4bb416b67436	387	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	130	377	3.45E-23	T	13-10-2020				
HIN_003570	5c7cafb8f3457734666e4bb416b67436	387	Pfam	PF00149	Calcineurin-like phosphoesterase	130	291	1.2E-12	T	13-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_005423	b26efb5a5ac3e0ebbe3eafb71849d0e5	454	Gene3D	G3DSA:3.60.21.10	-	188	409	9.5E-14	T	13-10-2020	IPR029052	Metallo-dependent phosphatase-like		
HIN_005423	b26efb5a5ac3e0ebbe3eafb71849d0e5	454	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	190	451	2.48E-24	T	13-10-2020				
HIN_005423	b26efb5a5ac3e0ebbe3eafb71849d0e5	454	Pfam	PF00149	Calcineurin-like phosphoesterase	190	359	2.3E-13	T	13-10-2020	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	
HIN_005423	b26efb5a5ac3e0ebbe3eafb71849d0e5	454	PANTHER	PTHR43143	METALLOPHOSPHOESTERASE, CALCINEURIN SUPERFAMILY	202	403	1.0E-11	T	13-10-2020				
HIN_005423	b26efb5a5ac3e0ebbe3eafb71849d0e5	454	PANTHER	PTHR43143:SF1	SERINE/THREONINE-PROTEIN PHOSPHATASE CPPED1	202	403	1.0E-11	T	13-10-2020				
