0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
SS50377_21346	c29e12096e6ac07250dc570008b05b60	207	SUPERFAMILY	SSF57184	Growth factor receptor domain	15	147	1.81E-7	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_21386	e1c78e35c50b6c2af1d1a4b26c7ac44c	298	SUPERFAMILY	SSF57184	Growth factor receptor domain	76	241	1.01E-6	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_21386	e1c78e35c50b6c2af1d1a4b26c7ac44c	298	SMART	SM00261	furin_3	191	236	6.9	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21386	e1c78e35c50b6c2af1d1a4b26c7ac44c	298	SMART	SM00261	furin_3	73	118	21.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21386	e1c78e35c50b6c2af1d1a4b26c7ac44c	298	SMART	SM00261	furin_3	130	175	15.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21414	d65194b7674860014377f9aba1ce4fea	461	SUPERFAMILY	SSF57184	Growth factor receptor domain	28	184	1.02E-6	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_21414	d65194b7674860014377f9aba1ce4fea	461	SUPERFAMILY	SSF57184	Growth factor receptor domain	132	282	9.77E-5	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_21442	031042a260741b2fba3103dde7d70617	284	Gene3D	G3DSA:2.10.220.10	Hormone Receptor	71	165	4.7E-5	T	09-11-2021				
SS50377_21442	031042a260741b2fba3103dde7d70617	284	SMART	SM00261	furin_3	73	117	0.15	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21442	031042a260741b2fba3103dde7d70617	284	SMART	SM00261	furin_3	128	176	0.15	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21442	031042a260741b2fba3103dde7d70617	284	SUPERFAMILY	SSF57184	Growth factor receptor domain	29	186	4.09E-11	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_21453	1906c91dd21d0ba32345e9cf331f2515	311	SUPERFAMILY	SSF57184	Growth factor receptor domain	45	171	7.85E-8	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_21453	1906c91dd21d0ba32345e9cf331f2515	311	SMART	SM00261	furin_3	73	120	2.1E-4	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21561	dc0b77a94a89543d30df42092cbcecfb	291	SMART	SM00261	furin_3	75	127	0.044	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21561	dc0b77a94a89543d30df42092cbcecfb	291	SMART	SM00261	furin_3	133	180	5.6	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21561	dc0b77a94a89543d30df42092cbcecfb	291	SMART	SM00261	furin_3	196	241	62.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21561	dc0b77a94a89543d30df42092cbcecfb	291	CDD	cd12087	TM_EGFR-like	259	287	0.00643475	T	09-11-2021				
SS50377_21561	dc0b77a94a89543d30df42092cbcecfb	291	SUPERFAMILY	SSF57184	Growth factor receptor domain	53	185	1.57E-5	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_21583	63ad346f49f537455eb12fd487be0327	291	SUPERFAMILY	SSF57184	Growth factor receptor domain	53	184	7.28E-7	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_21583	63ad346f49f537455eb12fd487be0327	291	CDD	cd12087	TM_EGFR-like	259	291	0.00544079	T	09-11-2021				
SS50377_21583	63ad346f49f537455eb12fd487be0327	291	SMART	SM00261	furin_3	75	121	0.11	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21583	63ad346f49f537455eb12fd487be0327	291	SMART	SM00261	furin_3	133	180	3.4	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21613	1381aee03de448d89fbf044562abc1f4	325	CDD	cd12087	TM_EGFR-like	293	321	0.00697608	T	09-11-2021				
SS50377_21631	50a6c6f197f51d77ae7cda5c38ad1d38	284	SUPERFAMILY	SSF57184	Growth factor receptor domain	123	241	4.95E-5	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_21631	50a6c6f197f51d77ae7cda5c38ad1d38	284	SMART	SM00261	furin_3	128	176	27.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21631	50a6c6f197f51d77ae7cda5c38ad1d38	284	SMART	SM00261	furin_3	73	117	0.061	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21631	50a6c6f197f51d77ae7cda5c38ad1d38	284	SUPERFAMILY	SSF57184	Growth factor receptor domain	12	141	1.23E-8	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_21666	9e2016a80f06a6e1a3c6c45509fc35e5	289	SUPERFAMILY	SSF57184	Growth factor receptor domain	77	241	4.03E-6	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_21666	9e2016a80f06a6e1a3c6c45509fc35e5	289	Coils	Coil	Coil	285	289	-	T	09-11-2021				
SS50377_21685	4f3fc4f4e487a1926063b4155865cc39	291	SUPERFAMILY	SSF57184	Growth factor receptor domain	53	185	3.47E-6	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_21685	4f3fc4f4e487a1926063b4155865cc39	291	Coils	Coil	Coil	286	291	-	T	09-11-2021				
SS50377_21685	4f3fc4f4e487a1926063b4155865cc39	291	SMART	SM00261	furin_3	75	121	0.13	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21685	4f3fc4f4e487a1926063b4155865cc39	291	SMART	SM00261	furin_3	133	180	5.6	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21685	4f3fc4f4e487a1926063b4155865cc39	291	SMART	SM00261	furin_3	196	241	62.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21695	811f62d5a547fc84b9a780db39c55cac	289	SUPERFAMILY	SSF57184	Growth factor receptor domain	76	241	1.02E-8	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_21712	1d9b70bdc7666c70258d7c87ceb83ab3	284	SMART	SM00261	furin_3	73	122	0.012	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21712	1d9b70bdc7666c70258d7c87ceb83ab3	284	SMART	SM00261	furin_3	128	176	19.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21712	1d9b70bdc7666c70258d7c87ceb83ab3	284	SMART	SM00261	furin_3	189	234	27.0	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21712	1d9b70bdc7666c70258d7c87ceb83ab3	284	SUPERFAMILY	SSF57184	Growth factor receptor domain	53	184	1.82E-10	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_21734	83614b8ae8781f82c923301bea3ce46b	291	SUPERFAMILY	SSF57184	Growth factor receptor domain	78	248	2.2E-12	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_21734	83614b8ae8781f82c923301bea3ce46b	291	SUPERFAMILY	SSF57184	Growth factor receptor domain	5	122	3.59E-5	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_21734	83614b8ae8781f82c923301bea3ce46b	291	SMART	SM00181	egf_5	200	233	28.0	T	09-11-2021	IPR000742	EGF-like domain		
SS50377_21734	83614b8ae8781f82c923301bea3ce46b	291	SMART	SM00181	egf_5	80	112	16.0	T	09-11-2021	IPR000742	EGF-like domain		
SS50377_21734	83614b8ae8781f82c923301bea3ce46b	291	SMART	SM00181	egf_5	45	79	130.0	T	09-11-2021	IPR000742	EGF-like domain		
SS50377_21734	83614b8ae8781f82c923301bea3ce46b	291	SMART	SM00261	furin_3	75	127	6.7E-6	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21734	83614b8ae8781f82c923301bea3ce46b	291	SMART	SM00261	furin_3	133	183	0.52	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_21744	5c6f109b73352ae1e9f589413378010d	240	SUPERFAMILY	SSF57184	Growth factor receptor domain	28	192	1.02E-7	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24305	fd755fe7cafa9cadc659c3634d08b7b4	287	SUPERFAMILY	SSF57184	Growth factor receptor domain	6	145	2.36E-9	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
SS50377_24305	fd755fe7cafa9cadc659c3634d08b7b4	287	SMART	SM00261	furin_3	75	120	0.0097	T	09-11-2021	IPR006212	Furin-like repeat		
SS50377_24305	fd755fe7cafa9cadc659c3634d08b7b4	287	SMART	SM00261	furin_3	132	180	67.0	T	09-11-2021	IPR006212	Furin-like repeat		
