id	desc
GCA61943.1	hypothetical protein KIPB_000005 [Kipferlia bialata]
GCA61944.1	ribosomal protein L6 [Kipferlia bialata]
GCA61945.1	hypothetical protein KIPB_000014 [Kipferlia bialata]
GCA61946.1	hypothetical protein KIPB_000040, partial [Kipferlia bialata]
GCA61947.1	hypothetical protein KIPB_000049 [Kipferlia bialata]
GCA61948.1	hypothetical protein KIPB_000050 [Kipferlia bialata]
GCA61949.1	hypothetical protein KIPB_000092 [Kipferlia bialata]
GCA61950.1	hypothetical protein KIPB_000095, partial [Kipferlia bialata]
GCA61951.1	protein of unknown function with TPD sequence-motif [Kipferlia bialata]
GCA61952.1	hypothetical protein KIPB_000140 [Kipferlia bialata]
GCA61953.1	hypothetical protein KIPB_000148 [Kipferlia bialata]
GCA61954.1	hypothetical protein KIPB_000150 [Kipferlia bialata]
GCA61955.1	hypothetical protein KIPB_000163, partial [Kipferlia bialata]
GCA61956.1	hypothetical protein KIPB_000168 [Kipferlia bialata]
GCA61957.1	hypothetical protein KIPB_000173 [Kipferlia bialata]
GCA61958.1	hypothetical protein KIPB_000196 [Kipferlia bialata]
GCA61959.1	hypothetical protein KIPB_000199 [Kipferlia bialata]
GCA61960.1	hypothetical protein KIPB_000201 [Kipferlia bialata]
GCA61961.1	hypothetical protein KIPB_000206 [Kipferlia bialata]
GCA61962.1	hypothetical protein KIPB_000208 [Kipferlia bialata]
GCA61963.1	hypothetical protein KIPB_000215 [Kipferlia bialata]
GCA61964.1	hypothetical protein KIPB_000227 [Kipferlia bialata]
GCA61965.1	hypothetical protein KIPB_000236 [Kipferlia bialata]
GCA61966.1	hypothetical protein KIPB_000237 [Kipferlia bialata]
GCA61967.1	hypothetical protein KIPB_000248 [Kipferlia bialata]
GCA61968.1	ABC transporter A, ABCA [Kipferlia bialata]
GCA61969.1	hypothetical protein KIPB_000253, partial [Kipferlia bialata]
GCA61970.1	hypothetical protein KIPB_000269, partial [Kipferlia bialata]
GCA61971.1	hypothetical protein KIPB_000278 [Kipferlia bialata]
GCA61972.1	hypothetical protein KIPB_000280 [Kipferlia bialata]
GCA61973.1	hypothetical protein KIPB_000281 [Kipferlia bialata]
GCA61974.1	hypothetical protein KIPB_000309 [Kipferlia bialata]
GCA61975.1	hypothetical protein KIPB_000312 [Kipferlia bialata]
GCA61976.1	hypothetical protein KIPB_000335 [Kipferlia bialata]
GCA61977.1	hypothetical protein KIPB_000337, partial [Kipferlia bialata]
GCA61978.1	hypothetical protein KIPB_000346 [Kipferlia bialata]
GCA61979.1	hypothetical protein KIPB_000350 [Kipferlia bialata]
GCA61980.1	hypothetical protein KIPB_000351 [Kipferlia bialata]
GCA61981.1	hypothetical protein KIPB_000352 [Kipferlia bialata]
GCA61982.1	protein of unknown function DUF3135 [Kipferlia bialata]
GCA61983.1	hypothetical protein KIPB_000372, partial [Kipferlia bialata]
GCA61984.1	hypothetical protein KIPB_000378 [Kipferlia bialata]
GCA61985.1	hypothetical protein KIPB_000382 [Kipferlia bialata]
GCA61986.1	hypothetical protein KIPB_000383 [Kipferlia bialata]
GCA61987.1	hypothetical protein KIPB_000390 [Kipferlia bialata]
