0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
GL50803_13728	22d656a04a4c0b00dfbc45feff9ff22e	318	SMART	SM00261	furin_3	32	80	3.3E-9	T	09-11-2021	IPR006212	Furin-like repeat		
GL50803_13728	22d656a04a4c0b00dfbc45feff9ff22e	318	SMART	SM00261	furin_3	197	247	9.7E-9	T	09-11-2021	IPR006212	Furin-like repeat		
GL50803_13728	22d656a04a4c0b00dfbc45feff9ff22e	318	SUPERFAMILY	SSF57184	Growth factor receptor domain	6	155	1.33E-12	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
GL50803_13728	22d656a04a4c0b00dfbc45feff9ff22e	318	CDD	cd00064	FU	37	88	2.56237E-5	T	09-11-2021	IPR006212	Furin-like repeat		
GL50803_13728	22d656a04a4c0b00dfbc45feff9ff22e	318	PANTHER	PTHR23275	CABRIOLET.-RELATED	6	283	4.7E-27	T	09-11-2021				
GL50803_13728	22d656a04a4c0b00dfbc45feff9ff22e	318	SMART	SM00181	egf_5	153	201	57.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_13728	22d656a04a4c0b00dfbc45feff9ff22e	318	SMART	SM00181	egf_5	37	69	56.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_13728	22d656a04a4c0b00dfbc45feff9ff22e	318	SMART	SM00181	egf_5	202	239	55.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_13728	22d656a04a4c0b00dfbc45feff9ff22e	318	SMART	SM00181	egf_5	89	131	120.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_13728	22d656a04a4c0b00dfbc45feff9ff22e	318	PANTHER	PTHR23275:SF94	VARIANT-SPECIFIC SURFACE PROTEIN	6	283	4.7E-27	T	09-11-2021				
GL50803_13728	22d656a04a4c0b00dfbc45feff9ff22e	318	SUPERFAMILY	SSF57184	Growth factor receptor domain	136	253	5.57E-7	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SUPERFAMILY	SSF57184	Growth factor receptor domain	930	1075	1.92E-7	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	PANTHER	PTHR23275:SF31	VSP AS8	1	143	6.5E-135	T	09-11-2021				
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SMART	SM00181	egf_5	1020	1056	190.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SMART	SM00181	egf_5	465	501	140.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SMART	SM00181	egf_5	15	55	220.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SMART	SM00181	egf_5	277	322	150.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SMART	SM00181	egf_5	601	638	170.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SMART	SM00181	egf_5	990	1019	83.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SMART	SM00181	egf_5	239	276	110.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SMART	SM00181	egf_5	847	882	44.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SMART	SM00181	egf_5	434	464	39.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SMART	SM00181	egf_5	188	220	190.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SMART	SM00181	egf_5	721	755	25.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SMART	SM00181	egf_5	559	599	26.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SMART	SM00181	egf_5	324	362	85.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SMART	SM00181	egf_5	761	792	33.0	T	09-11-2021	IPR000742	EGF-like domain		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	Gene3D	G3DSA:2.10.220.10	Hormone Receptor	466	569	1.4E-7	T	09-11-2021				
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SUPERFAMILY	SSF57184	Growth factor receptor domain	185	338	1.28E-14	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
GL50803_112135	be2d7c97bdcb526eb152187377dff04a	1144	SUPERFAMILY	SSF57184	Growth factor receptor domain	607	795	6.71E-6	T	09-11-2021	IPR009030	Growth factor receptor cysteine-rich domain superfamily		
