protein_id	Seq MD5 digest	Sequence length	Analysis	Signature accession	Signature description	Start location	Stop location	Score	Status	Date of run	Interpro annotations - accession	Interpro annotation - description	optional: GO terms	optional: Pathway annotation
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
HIN_037343	9a5027edb89b6f067a1c6ced53dfccf9	454	Pfam	PF03152	Ubiquitin fusion degradation protein UFD1	49	192	3.8E-16	T	14-10-2020	IPR004854	Ubiquitin fusion degradation protein Ufd1-like	GO:0006511	Reactome: R-HSA-110320|Reactome: R-HSA-5689880
HIN_037343	9a5027edb89b6f067a1c6ced53dfccf9	454	Gene3D	G3DSA:2.40.40.50	-	29	141	6.3E-6	T	14-10-2020	IPR042299	Ufd1-like, Nn domain		Reactome: R-HSA-110320|Reactome: R-HSA-5689880
HIN_037343	9a5027edb89b6f067a1c6ced53dfccf9	454	PANTHER	PTHR12555	UBIQUITIN FUSION DEGRADATON PROTEIN 1	78	209	5.4E-12	T	14-10-2020	IPR004854	Ubiquitin fusion degradation protein Ufd1-like	GO:0006511	Reactome: R-HSA-110320|Reactome: R-HSA-5689880
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	ProSiteProfiles	PS51352	Thioredoxin domain profile.	3	109	14.951	T	14-10-2020	IPR013766	Thioredoxin domain		
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	MobiDBLite	mobidb-lite	consensus disorder prediction	1095	1137	-	T	14-10-2020				
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	SUPERFAMILY	SSF54001	Cysteine proteinases	1282	1453	1.1E-8	T	14-10-2020	IPR038765	Papain-like cysteine peptidase superfamily		
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	Gene3D	G3DSA:3.40.30.10	Glutaredoxin	2	133	1.6E-31	T	14-10-2020	IPR036249	Thioredoxin-like superfamily		
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	MobiDBLite	mobidb-lite	consensus disorder prediction	1115	1137	-	T	14-10-2020				
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	PRINTS	PR00421	Thioredoxin family signature	73	84	5.8E-5	T	14-10-2020				
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	PRINTS	PR00421	Thioredoxin family signature	24	32	5.8E-5	T	14-10-2020				
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	PRINTS	PR00421	Thioredoxin family signature	32	41	5.8E-5	T	14-10-2020				
HIN_012676	0de74cba1b0167ff511f9f8500b54295	1575	PANTHER	PTHR45672	PROTEIN DISULFIDE-ISOMERASE C17H9.14C-RELATED	6	110	3.8E-28	T	14-10-2020				
