0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
HIN_004709	00abdac3fe64767cedc8d308352e57af	1243	MobiDBLite	mobidb-lite	consensus disorder prediction	321	367	-	T	13-10-2020				
HIN_004709	00abdac3fe64767cedc8d308352e57af	1243	MobiDBLite	mobidb-lite	consensus disorder prediction	342	360	-	T	13-10-2020				
HIN_004709	00abdac3fe64767cedc8d308352e57af	1243	Coils	Coil	Coil	332	359	-	T	13-10-2020				
HIN_004709	00abdac3fe64767cedc8d308352e57af	1243	MobiDBLite	mobidb-lite	consensus disorder prediction	325	341	-	T	13-10-2020				
HIN_004711	f9033d740e804ba4eefce974aba9ffaf	4783	MobiDBLite	mobidb-lite	consensus disorder prediction	3567	3591	-	T	13-10-2020				
HIN_004711	f9033d740e804ba4eefce974aba9ffaf	4783	Coils	Coil	Coil	311	331	-	T	13-10-2020				
HIN_004711	f9033d740e804ba4eefce974aba9ffaf	4783	MobiDBLite	mobidb-lite	consensus disorder prediction	3564	3591	-	T	13-10-2020				
HIN_004711	f9033d740e804ba4eefce974aba9ffaf	4783	Coils	Coil	Coil	3455	3482	-	T	13-10-2020				
HIN_004711	f9033d740e804ba4eefce974aba9ffaf	4783	Coils	Coil	Coil	1855	1882	-	T	13-10-2020				
HIN_004711	f9033d740e804ba4eefce974aba9ffaf	4783	Coils	Coil	Coil	1428	1448	-	T	13-10-2020				
HIN_004711	f9033d740e804ba4eefce974aba9ffaf	4783	Coils	Coil	Coil	1357	1384	-	T	13-10-2020				
HIN_004711	f9033d740e804ba4eefce974aba9ffaf	4783	Coils	Coil	Coil	2668	2695	-	T	13-10-2020				
HIN_012689	7f36c1868ff337d86c49358692165db9	5924	MobiDBLite	mobidb-lite	consensus disorder prediction	3567	3591	-	T	14-10-2020				
HIN_012689	7f36c1868ff337d86c49358692165db9	5924	MobiDBLite	mobidb-lite	consensus disorder prediction	3564	3591	-	T	14-10-2020				
HIN_012689	7f36c1868ff337d86c49358692165db9	5924	Coils	Coil	Coil	3455	3482	-	T	14-10-2020				
HIN_012689	7f36c1868ff337d86c49358692165db9	5924	Coils	Coil	Coil	1855	1882	-	T	14-10-2020				
HIN_012689	7f36c1868ff337d86c49358692165db9	5924	MobiDBLite	mobidb-lite	consensus disorder prediction	5023	5041	-	T	14-10-2020				
HIN_012689	7f36c1868ff337d86c49358692165db9	5924	Coils	Coil	Coil	2896	2916	-	T	14-10-2020				
HIN_012689	7f36c1868ff337d86c49358692165db9	5924	Coils	Coil	Coil	1428	1448	-	T	14-10-2020				
HIN_012689	7f36c1868ff337d86c49358692165db9	5924	Coils	Coil	Coil	1357	1384	-	T	14-10-2020				
HIN_012689	7f36c1868ff337d86c49358692165db9	5924	MobiDBLite	mobidb-lite	consensus disorder prediction	5004	5049	-	T	14-10-2020				
HIN_012689	7f36c1868ff337d86c49358692165db9	5924	Coils	Coil	Coil	2668	2695	-	T	14-10-2020				
HIN_012689	7f36c1868ff337d86c49358692165db9	5924	MobiDBLite	mobidb-lite	consensus disorder prediction	5004	5022	-	T	14-10-2020				
HIN_012689	7f36c1868ff337d86c49358692165db9	5924	Coils	Coil	Coil	5013	5040	-	T	14-10-2020				
HIN_018727	4e559d52a5bfde39f30076c77cf0addc	1054	Coils	Coil	Coil	791	811	-	T	14-10-2020				
HIN_018727	4e559d52a5bfde39f30076c77cf0addc	1054	MobiDBLite	mobidb-lite	consensus disorder prediction	570	620	-	T	14-10-2020				
HIN_018727	4e559d52a5bfde39f30076c77cf0addc	1054	MobiDBLite	mobidb-lite	consensus disorder prediction	561	620	-	T	14-10-2020				
HIN_018728	fcb046df8bb5def8b299f4b49ba7bddb	3576	MobiDBLite	mobidb-lite	consensus disorder prediction	817	841	-	T	14-10-2020				
HIN_018728	fcb046df8bb5def8b299f4b49ba7bddb	3576	Coils	Coil	Coil	1712	1732	-	T	14-10-2020				
HIN_018728	fcb046df8bb5def8b299f4b49ba7bddb	3576	MobiDBLite	mobidb-lite	consensus disorder prediction	1691	1716	-	T	14-10-2020				
HIN_018728	fcb046df8bb5def8b299f4b49ba7bddb	3576	Coils	Coil	Coil	1670	1690	-	T	14-10-2020				
HIN_021210	7ce941b61738d2e1645c98114d90aa03	5565	Coils	Coil	Coil	5565	5565	-	T	14-10-2020				
HIN_021210	7ce941b61738d2e1645c98114d90aa03	5565	MobiDBLite	mobidb-lite	consensus disorder prediction	5113	5143	-	T	14-10-2020				
HIN_021210	7ce941b61738d2e1645c98114d90aa03	5565	Coils	Coil	Coil	2407	2427	-	T	14-10-2020				
HIN_021210	7ce941b61738d2e1645c98114d90aa03	5565	Coils	Coil	Coil	4414	4434	-	T	14-10-2020				
HIN_021210	7ce941b61738d2e1645c98114d90aa03	5565	MobiDBLite	mobidb-lite	consensus disorder prediction	3360	3385	-	T	14-10-2020				
HIN_021210	7ce941b61738d2e1645c98114d90aa03	5565	Coils	Coil	Coil	2447	2467	-	T	14-10-2020				
HIN_021210	7ce941b61738d2e1645c98114d90aa03	5565	MobiDBLite	mobidb-lite	consensus disorder prediction	5091	5145	-	T	14-10-2020				
HIN_021210	7ce941b61738d2e1645c98114d90aa03	5565	Coils	Coil	Coil	2547	2567	-	T	14-10-2020				
HIN_021941	bc0a3f3fe35b3e988cf5a57a85cc82a6	563	Coils	Coil	Coil	285	305	-	T	14-10-2020				
HIN_021941	bc0a3f3fe35b3e988cf5a57a85cc82a6	563	MobiDBLite	mobidb-lite	consensus disorder prediction	18	37	-	T	14-10-2020				
