id	desc
SS50377_20001	SS50377_20001 Hypothetical protein
SS50377_20002	SS50377_20002 Transmembrane domain-containing protein
SS50377_20003	SS50377_20003 Hypothetical protein
SS50377_20004	SS50377_20004 Hypothetical protein
SS50377_20005	SS50377_20005 Hypothetical protein
SS50377_20006	SS50377_20006 Hypothetical protein
SS50377_20007	SS50377_20007 Hypothetical protein
SS50377_20008	SS50377_20008 Hypothetical protein
SS50377_20009	SS50377_20009 Hypothetical protein
SS50377_20010	SS50377_20010 Hypothetical protein
SS50377_20011	SS50377_20011 Hypothetical protein
SS50377_20012	SS50377_20012 Hypothetical protein
SS50377_20013	SS50377_20013 Hypothetical protein
SS50377_20014	SS50377_20014 Hypothetical protein
SS50377_20015	SS50377_20015 Hypothetical protein
SS50377_20016	SS50377_20016 Hypothetical protein
SS50377_20017	SS50377_20017 Hypothetical protein
SS50377_20018	SS50377_20018 4-alpha-glucanotransferase
SS50377_20019	SS50377_20019 Hypothetical protein
SS50377_20020	SS50377_20020 Hypothetical protein
SS50377_20021	SS50377_20021 tRNA pseudouridine38/39 synthase
SS50377_20022	SS50377_20022 Hypothetical protein
SS50377_20023	SS50377_20023 Putative methyltransferase family protein
SS50377_20024	SS50377_20024 Hypothetical protein
SS50377_20025	SS50377_20025 Hypothetical protein
SS50377_20026	SS50377_20026 Hypothetical protein
SS50377_20027	SS50377_20027 Hypothetical protein
SS50377_20028	SS50377_20028 TLD family protein
SS50377_20029	SS50377_20029 Hypothetical protein
SS50377_20030	SS50377_20030 tRNA pseudouridine38/39 synthase
SS50377_20031	SS50377_20031 Hypothetical protein
SS50377_20032	SS50377_20032 Hypothetical protein
SS50377_20033	SS50377_20033 Hypothetical protein
SS50377_20034	SS50377_20034 Hypothetical protein
SS50377_20035	SS50377_20035 Hypothetical protein
SS50377_20036	SS50377_20036 Hypothetical protein
SS50377_20037	SS50377_20037 Sec20
SS50377_20038	SS50377_20038 Rab1a
SS50377_20039	SS50377_20039 Hypothetical protein
SS50377_20040	SS50377_20040 Hypothetical protein
SS50377_20041	SS50377_20041 SHIPPO 1-like protein
SS50377_20042	SS50377_20042 Proteasome activator pa28 beta subunit
SS50377_20043	SS50377_20043 Hypothetical protein
SS50377_20044	SS50377_20044 Hypothetical protein
SS50377_20045	SS50377_20045 Zinc carboxypeptidase domain-containing protein
SS50377_20046	SS50377_20046 Hypothetical protein
SS50377_20047	SS50377_20047 Hypothetical protein
SS50377_20048	SS50377_20048 Hypothetical protein
SS50377_20049	SS50377_20049 Hypothetical protein
SS50377_20050	SS50377_20050 Hypothetical protein
SS50377_20051	SS50377_20051 Hypothetical protein
SS50377_20052	SS50377_20052 B9 protein family domain-containing protein
SS50377_20053	SS50377_20053 Zinc finger, C2H2 type domain-containing protein
SS50377_20054	SS50377_20054 RNAse P Rpr2/Rpp21/SNM1 subunit domain-containing protein
