OG	id	desc
OG0000086	HIN_002761	HIN_002761 EF hand domain-containing protein
OG0000086	HIN_020316	HIN_020316 EF hand domain-containing protein
OG0000086	HIN_020317	HIN_020317 EF hand domain-containing protein
OG0000086	HIN_020332	HIN_020332 EF hand domain-containing protein
OG0000086	HIN_020333	HIN_020333 EF hand domain-containing protein
OG0000086	HIN_020367	HIN_020367 EF hand domain-containing protein
OG0000086	HIN_020379	HIN_020379 EF hand domain-containing protein
OG0000086	HIN_020391	HIN_020391 EF hand domain-containing protein
OG0000086	HIN_020394	HIN_020394 EF hand domain-containing protein
OG0000086	HIN_026868	HIN_026868 EF hand domain-containing protein
OG0000086	HIN_030923	HIN_030923 EF hand domain-containing protein
OG0000086	HIN_030927	HIN_030927 EF hand domain-containing protein
OG0000086	HIN_030940	HIN_030940 EF hand domain-containing protein
OG0000086	HIN_030955	HIN_030955 EF hand domain-containing protein
OG0000086	HIN_030978	HIN_030978 EF hand domain-containing protein
OG0000086	HIN_030979	HIN_030979 EF hand domain-containing protein
OG0000086	HIN_031002	HIN_031002 EF hand domain-containing protein
OG0000086	HIN_031003	HIN_031003 EF hand domain-containing protein
OG0000086	HIN_031371	HIN_031371 EF hand domain-containing protein
OG0000086	HIN_036217	HIN_036217 EF hand domain-containing protein
OG0000086	HIN_039362	HIN_039362 EF hand domain-containing protein
OG0000086	HIN_041204	HIN_041204 EF hand domain-containing protein
OG0000086	HIN_041218	HIN_041218 EF hand domain-containing protein
OG0000086	HIN_041230	HIN_041230 EF hand domain-containing protein
OG0000086	HIN_041233	HIN_041233 EF hand domain-containing protein
OG0000086	HIN_043231	HIN_043231 EF hand domain-containing protein
OG0000086	HIN_043242	HIN_043242 EF hand domain-containing protein
OG0000086	HIN_044547	HIN_044547 EF hand domain-containing protein
OG0000086	HIN_044555	HIN_044555 EF hand domain-containing protein
OG0000086	HIN_044585	HIN_044585 EF hand domain-containing protein
OG0000086	HIN_044677	HIN_044677 EF hand domain-containing protein
OG0000086	HIN_044690	HIN_044690 EF hand domain-containing protein
OG0000086	HIN_054579	HIN_054579 EF hand domain-containing protein
OG0000086	HIN_054597	HIN_054597 EF hand domain-containing protein
OG0000086	HIN_054698	HIN_054698 EF hand domain-containing protein
OG0000086	HIN_059609	HIN_059609 EF hand domain-containing protein
OG0000086	HIN_060037	HIN_060037 EF hand domain-containing protein
OG0000086	HIN_060337	HIN_060337 EF hand domain-containing protein
OG0000086	HIN_060338	HIN_060338 EF hand domain-containing protein
OG0000086	HIN_060354	HIN_060354 EF hand domain-containing protein
