id	desc
GMRT_20002	GMRT_20002 Hypothetical protein
GMRT_20006	GMRT_20006 Ankyrin repeat protein 1
GMRT_15264	GMRT_15264 Kinase, NEK
GMRT_14516	GMRT_14516 Ankyrin repeat protein 1
GMRT_14515	GMRT_14515 Hypothetical protein
GMRT_14514	GMRT_14514 Hypothetical protein
GMRT_14513	GMRT_14513 Kinesin-16
GMRT_14512	GMRT_14512 26S protease regulatory subunit 6A
GMRT_14511	GMRT_14511 Hypothetical protein
GMRT_14510	GMRT_14510 Hypothetical protein
GMRT_14509	GMRT_14509 Multidrug resistance-associated protein 1
GMRT_14508	GMRT_14508 Hypothetical protein
GMRT_14507	GMRT_14507 Hypothetical protein
GMRT_14506	GMRT_14506 Hypothetical protein
GMRT_14505	GMRT_14505 Hypothetical protein
GMRT_14504	GMRT_14504 26S proteasome non-ATPase regulatory subunit 7
GMRT_14503	GMRT_14503 Hypothetical protein
GMRT_14502	GMRT_14502 Hypothetical protein
GMRT_14501	GMRT_14501 Microsomal signal peptidase 12 kDa subunit (SPC12)
GMRT_14500	GMRT_14500 Hypothetical protein
GMRT_14499	GMRT_14499 Hypothetical protein
GMRT_14498	GMRT_14498 Hypothetical protein
GMRT_14497	GMRT_14497 Ankyrin repeat protein 1
GMRT_14496	GMRT_14496 Protein deglycase
GMRT_14495	GMRT_14495 Bromodomain-containing protein
GMRT_14494	GMRT_14494 Ribonuclease P
GMRT_14493	GMRT_14493 Hypothetical protein
GMRT_14492	GMRT_14492 Hypothetical protein
GMRT_14491	GMRT_14491 Kinase, NEK
GMRT_16012	GMRT_16012 Ankyrin repeat protein 2
GMRT_13528	GMRT_13528 Ankyrin repeat protein 3
GMRT_12097	GMRT_12097 Hypothetical protein
GMRT_16251	GMRT_16251 High cysteine membrane protein
GMRT_14069	GMRT_14069 Kinase, NEK
GMRT_14070	GMRT_14070 Hypothetical protein
GMRT_14071	GMRT_14071 Hypothetical protein
GMRT_14072	GMRT_14072 Ribosomal protein L10
GMRT_14073	GMRT_14073 Hypothetical protein
GMRT_14074	GMRT_14074 Hypothetical protein
GMRT_14075	GMRT_14075 Hypothetical protein
GMRT_14076	GMRT_14076 Ribosomal protein L37a
GMRT_14077	GMRT_14077 Hypothetical protein
GMRT_14078	GMRT_14078 Hypothetical protein
GMRT_14079	GMRT_14079 Dolichol-phosphate mannosyltransferase, putative
GMRT_14080	GMRT_14080 Hypothetical protein
GMRT_20054	GMRT_20054 LSM domain-containing protein
GMRT_14081	GMRT_14081 TatD related DNase
GMRT_14082	GMRT_14082 Ankyrin repeat protein 2
GMRT_14083	GMRT_14083 Tubulin binding cofactor C family protein
GMRT_14084	GMRT_14084 Cleavage and polyadenylation specificity factor, 73 kDa subunit
GMRT_12088	GMRT_12088 Ankyrin repeat protein 1
GMRT_15754	GMRT_15754 Ankyrin repeat protein 2
GMRT_20068	GMRT_20068 Alpha-tubulin
GMRT_11018	GMRT_11018 Hypothetical protein
GMRT_11017	GMRT_11017 Lyso-PAF acetyltransferase/Lysophosphatidylcholine acyltransferase
GMRT_11016	GMRT_11016 Hypothetical protein
GMRT_11015	GMRT_11015 Hypothetical protein
GMRT_11014	GMRT_11014 Hypothetical protein
GMRT_11013	GMRT_11013 Glyceraldehyde 3-phosphate dehydrogenase
GMRT_11012	GMRT_11012 Hypothetical protein
GMRT_11011	GMRT_11011 Hypothetical protein
GMRT_11010	GMRT_11010 Hypothetical protein
GMRT_11009	GMRT_11009 Hypothetical protein
GMRT_11008	GMRT_11008 Kinase, CMGC CDK
GMRT_11007	GMRT_11007 Putative membrane spanning protein
GMRT_11006	GMRT_11006 Hypothetical protein
GMRT_11005	GMRT_11005 High cysteine membrane protein
GMRT_11004	GMRT_11004 Hypothetical protein
GMRT_11003	GMRT_11003 Hypothetical protein
GMRT_11002	GMRT_11002 E2F/DP family winged-helix DNA-binding domain-containing protein
GMRT_11001	GMRT_11001 Hypothetical protein
GMRT_11000	GMRT_11000 Hypothetical protein
GMRT_10999	GMRT_10999 Lysophosphatidylcholine acyltransferase
GMRT_10998	GMRT_10998 Serine/Threonine-protein phosphatase, putative
GMRT_10997	GMRT_10997 S-adenosylmethionine-dependent methyltransferase, putative
GMRT_10996	GMRT_10996 Vacuolar protein sorting 4a
GMRT_10995	GMRT_10995 Hypothetical protein
GMRT_10994	GMRT_10994 Hypothetical protein
GMRT_10993	GMRT_10993 Hypothetical protein
GMRT_10992	GMRT_10992 Hypothetical protein
GMRT_10991	GMRT_10991 Kinase, NEK
GMRT_10990	GMRT_10990 Deoxyguanosine kinase/deoxyadenosine kinase subunit, putative
GMRT_10989	GMRT_10989 ERCC4 domain-containing protein
GMRT_10988	GMRT_10988 Calmodulin
GMRT_10987	GMRT_10987 Hypothetical protein
GMRT_10986	GMRT_10986 Na+ driven multidrug efflux pump
GMRT_10985	GMRT_10985 Kinase, NEK
GMRT_10984	GMRT_10984 Ankyrin repeat protein 2
GMRT_10983	GMRT_10983 Ribosomal RNA-processing protein 7
GMRT_10982	GMRT_10982 Ribosomal protein S12
GMRT_10981	GMRT_10981 Hypothetical protein
GMRT_10980	GMRT_10980 Hypothetical protein
GMRT_10979	GMRT_10979 Hypothetical protein
GMRT_10978	GMRT_10978 Ankyrin repeat protein 1
GMRT_10977	GMRT_10977 Ankyrin repeat protein 1
GMRT_10976	GMRT_10976 Hypothetical protein
GMRT_10975	GMRT_10975 NOD3 protein, putative
GMRT_10974	GMRT_10974 Zinc finger domain protein
GMRT_10973	GMRT_10973 Putative cyclin
GMRT_10972	GMRT_10972 Hypothetical protein
GMRT_10971	GMRT_10971 Hypothetical protein
GMRT_10970	GMRT_10970 Hypothetical protein
GMRT_10969	GMRT_10969 Hypothetical protein
GMRT_10968	GMRT_10968 Hypothetical protein
GMRT_10967	GMRT_10967 Ankyrin repeat protein 1
GMRT_10966	GMRT_10966 Dipeptidyl-peptidase I
GMRT_10965	GMRT_10965 Hypothetical protein
GMRT_20123	GMRT_20123 Hypothetical protein
GMRT_10964	GMRT_10964 Dipeptidyl-peptidase I
GMRT_10963	GMRT_10963 Kinase, NEK
GMRT_20126	GMRT_20126 Hypothetical protein
GMRT_10962	GMRT_10962 Hypothetical protein
GMRT_10961	GMRT_10961 Hypothetical protein
GMRT_10960	GMRT_10960 Nonsense-mediated mRNA decay protein 3
GMRT_10959	GMRT_10959 Ankyrin repeat protein 1
