0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
HIN_000231	ebcde8dbef0d685738cf33504976e3e4	204	Pfam	PF13843	Transposase IS4	12	88	4.0E-8	T	13-10-2020	IPR029526	PiggyBac transposable element-derived protein		
HIN_000347	9706b9e30bc2840f6b4173d865f30d5c	200	Coils	Coil	Coil	135	155	-	T	13-10-2020				
HIN_000529	c3b943bdcb9b0cd5389ec39da372e33b	181	Pfam	PF13843	Transposase IS4	9	64	1.9E-6	T	13-10-2020	IPR029526	PiggyBac transposable element-derived protein		
HIN_000821	ad849a2786ec061320e0dfb00c005be7	345	Coils	Coil	Coil	135	155	-	T	13-10-2020				
HIN_000821	ad849a2786ec061320e0dfb00c005be7	345	Pfam	PF13843	Transposase IS4	178	315	2.9E-8	T	13-10-2020	IPR029526	PiggyBac transposable element-derived protein		
HIN_001109	5167b664fc61c68aa21d4e85a50dba9e	159	Pfam	PF13843	Transposase IS4	8	64	1.3E-6	T	13-10-2020	IPR029526	PiggyBac transposable element-derived protein		
HIN_001345	c900b32eccacee5ab7067aeb321ac8a2	269	Coils	Coil	Coil	135	155	-	T	13-10-2020				
HIN_001345	c900b32eccacee5ab7067aeb321ac8a2	269	Pfam	PF13843	Transposase IS4	168	264	2.1E-9	T	13-10-2020	IPR029526	PiggyBac transposable element-derived protein		
HIN_002907	d03919dd35e4125581e1fadfd5dea020	345	Coils	Coil	Coil	135	155	-	T	13-10-2020				
HIN_002976	e7f9564cf9f74ffa3e30280fde2c03a9	194	Pfam	PF13843	Transposase IS4	5	78	2.8E-7	T	13-10-2020	IPR029526	PiggyBac transposable element-derived protein		
HIN_003031	cc4ba72fadcf891850814ff6fe38e1bb	205	Coils	Coil	Coil	135	155	-	T	13-10-2020				
HIN_003032	35ec1a3289f014c7f87676900b225d6c	271	Pfam	PF13843	Transposase IS4	9	64	6.5E-6	T	13-10-2020	IPR029526	PiggyBac transposable element-derived protein		
HIN_003044	8680d90220cf16c6772197c9af9147fe	607	Coils	Coil	Coil	135	155	-	T	13-10-2020				
HIN_003044	8680d90220cf16c6772197c9af9147fe	607	Pfam	PF13843	Transposase IS4	178	344	7.6E-14	T	13-10-2020	IPR029526	PiggyBac transposable element-derived protein		
HIN_003359	872baedfa98711c3e7e177c9abcb3002	186	Pfam	PF13843	Transposase IS4	9	64	2.0E-6	T	13-10-2020	IPR029526	PiggyBac transposable element-derived protein		
HIN_003513	e374bc2990e7de841500a33e235f511d	134	Coils	Coil	Coil	99	119	-	T	13-10-2020				
HIN_003513	e374bc2990e7de841500a33e235f511d	134	Pfam	PF13843	Transposase IS4	17	126	1.2E-5	T	13-10-2020	IPR029526	PiggyBac transposable element-derived protein		
HIN_003595	ca8ca96c0eb43d99d878bf6700f0ebd3	181	Pfam	PF13843	Transposase IS4	9	64	1.9E-6	T	13-10-2020	IPR029526	PiggyBac transposable element-derived protein		
HIN_003993	e374bc2990e7de841500a33e235f511d	134	Coils	Coil	Coil	99	119	-	T	13-10-2020				
HIN_003993	e374bc2990e7de841500a33e235f511d	134	Pfam	PF13843	Transposase IS4	17	126	1.2E-5	T	13-10-2020	IPR029526	PiggyBac transposable element-derived protein		
HIN_004339	05d81c51337edcaa7095c55590e447d8	163	Pfam	PF13843	Transposase IS4	1	48	3.3E-6	T	13-10-2020	IPR029526	PiggyBac transposable element-derived protein		
HIN_004340	adcc7a6d97196352ecbefa12816e6797	351	Pfam	PF13843	Transposase IS4	166	312	2.5E-16	T	13-10-2020	IPR029526	PiggyBac transposable element-derived protein		
HIN_004340	adcc7a6d97196352ecbefa12816e6797	351	PANTHER	PTHR46599	PIGGYBAC TRANSPOSABLE ELEMENT-DERIVED PROTEIN 4	5	310	5.2E-13	T	13-10-2020				
HIN_004386	c8eb04e11d115fe770dc542544a04b11	181	Pfam	PF13843	Transposase IS4	9	64	1.9E-6	T	13-10-2020	IPR029526	PiggyBac transposable element-derived protein		
HIN_004606	abb8c52c98defbcfaab4306dbd3842b6	584	Coils	Coil	Coil	135	155	-	T	13-10-2020				
HIN_004606	abb8c52c98defbcfaab4306dbd3842b6	584	Pfam	PF13843	Transposase IS4	178	344	6.8E-14	T	13-10-2020	IPR029526	PiggyBac transposable element-derived protein		
