0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	MobiDBLite	mobidb-lite	consensus disorder prediction	608	627	-	T	09-11-2021				
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	Gene3D	G3DSA:1.25.40.20	-	3	240	7.6E-24	T	09-11-2021	IPR036770	Ankyrin repeat-containing domain superfamily		
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	ProSiteProfiles	PS50011	Protein kinase domain profile.	377	627	47.58	T	09-11-2021	IPR000719	Protein kinase domain	GO:0004672|GO:0005524|GO:0006468	
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	PANTHER	PTHR43671:SF13	SERINE/THREONINE-PROTEIN KINASE NEK2	184	348	4.1E-82	T	09-11-2021				
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	MobiDBLite	mobidb-lite	consensus disorder prediction	190	211	-	T	09-11-2021				
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	Pfam	PF12796	Ankyrin repeats (3 copies)	6	86	4.9E-17	T	09-11-2021	IPR020683	Ankyrin repeat-containing domain		
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	Pfam	PF12796	Ankyrin repeats (3 copies)	261	337	7.7E-11	T	09-11-2021	IPR020683	Ankyrin repeat-containing domain		
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	ProSitePatterns	PS00108	Serine/Threonine protein kinases active-site signature.	498	510	-	T	09-11-2021	IPR008271	Serine/threonine-protein kinase, active site	GO:0004672|GO:0006468	
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	PANTHER	PTHR43671	SERINE/THREONINE-PROTEIN KINASE NEK	184	348	4.1E-82	T	09-11-2021				
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	SUPERFAMILY	SSF56112	Protein kinase-like (PK-like)	362	621	2.43E-75	T	09-11-2021	IPR011009	Protein kinase-like domain superfamily		
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	SUPERFAMILY	SSF48403	Ankyrin repeat	3	355	1.06E-38	T	09-11-2021	IPR036770	Ankyrin repeat-containing domain superfamily		
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	Pfam	PF00069	Protein kinase domain	378	622	3.1E-57	T	09-11-2021	IPR000719	Protein kinase domain	GO:0004672|GO:0005524|GO:0006468	
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	PANTHER	PTHR43671	SERINE/THREONINE-PROTEIN KINASE NEK	373	621	4.1E-82	T	09-11-2021				
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	PANTHER	PTHR43671:SF13	SERINE/THREONINE-PROTEIN KINASE NEK2	373	621	4.1E-82	T	09-11-2021				
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	MobiDBLite	mobidb-lite	consensus disorder prediction	190	221	-	T	09-11-2021				
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	CDD	cd14014	STKc_PknB_like	376	620	3.04017E-79	T	09-11-2021				
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	Gene3D	G3DSA:1.10.510.10	Transferase(Phosphotransferase) domain 1	368	627	7.7E-73	T	09-11-2021				
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	Coils	Coil	Coil	176	256	-	T	09-11-2021				
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	ProSiteProfiles	PS50297	Ankyrin repeat region circular profile.	31	138	11.081	T	09-11-2021	IPR020683	Ankyrin repeat-containing domain		
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	Gene3D	G3DSA:1.25.40.20	-	253	364	1.6E-16	T	09-11-2021	IPR036770	Ankyrin repeat-containing domain superfamily		
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	SUPERFAMILY	SSF161270	PspA lactotransferrin-binding region	173	236	3.53E-5	T	09-11-2021				
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	SMART	SM00220	serkin_6	377	621	2.0E-72	T	09-11-2021	IPR000719	Protein kinase domain	GO:0004672|GO:0005524|GO:0006468	
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	SMART	SM00248	ANK_2a	314	342	3.1	T	09-11-2021	IPR002110	Ankyrin repeat	GO:0005515	
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	SMART	SM00248	ANK_2a	61	90	0.03	T	09-11-2021	IPR002110	Ankyrin repeat	GO:0005515	
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	SMART	SM00248	ANK_2a	106	135	28.0	T	09-11-2021	IPR002110	Ankyrin repeat	GO:0005515	
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	SMART	SM00248	ANK_2a	31	60	98.0	T	09-11-2021	IPR002110	Ankyrin repeat	GO:0005515	
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	SMART	SM00248	ANK_2a	1	30	1600.0	T	09-11-2021	IPR002110	Ankyrin repeat	GO:0005515	
GMRT_10631	d444d68520a3640e31dd79b679cbb335	627	SMART	SM00248	ANK_2a	283	312	1.4	T	09-11-2021	IPR002110	Ankyrin repeat	GO:0005515	
GMRT_11262	a2ef6e21ceaed151add725041bb41c58	675	SUPERFAMILY	SSF48403	Ankyrin repeat	3	396	3.17E-40	T	09-11-2021	IPR036770	Ankyrin repeat-containing domain superfamily		
GMRT_11262	a2ef6e21ceaed151add725041bb41c58	675	Pfam	PF00069	Protein kinase domain	426	670	4.2E-52	T	09-11-2021	IPR000719	Protein kinase domain	GO:0004672|GO:0005524|GO:0006468	
GMRT_11262	a2ef6e21ceaed151add725041bb41c58	675	MobiDBLite	mobidb-lite	consensus disorder prediction	230	244	-	T	09-11-2021				
GMRT_11262	a2ef6e21ceaed151add725041bb41c58	675	MobiDBLite	mobidb-lite	consensus disorder prediction	218	264	-	T	09-11-2021				
GMRT_11262	a2ef6e21ceaed151add725041bb41c58	675	MobiDBLite	mobidb-lite	consensus disorder prediction	245	261	-	T	09-11-2021				
