id	desc
KAG9389427.1	KAG9389427.1 Chromosome partition protein Smc [Carpediemonas membranifera]
KAG9389428.1	KAG9389428.1 hypothetical protein J8273_8715 [Carpediemonas membranifera]
KAG9389429.1	KAG9389429.1 Chromo (CHRromatin Organization MOdifier) domain [Carpediemonas membranifera]
KAG9389430.1	KAG9389430.1 Endonuclease/Exonuclease/phosphatase family [Carpediemonas membranifera]
KAG9389431.1	KAG9389431.1 hypothetical protein J8273_8721 [Carpediemonas membranifera]
KAG9389432.1	KAG9389432.1 hypothetical protein J8273_8722 [Carpediemonas membranifera]
KAG9389433.1	KAG9389433.1 Adaptor Protein Complex 3 subunit, mu (AP3M) [Carpediemonas membranifera]
KAG9389434.1	KAG9389434.1 RNA recognition motif [Carpediemonas membranifera]
KAG9389435.1	KAG9389435.1 Rab-GTPase-TBC domain [Carpediemonas membranifera]
KAG9389436.1	KAG9389436.1 hypothetical protein J8273_8728 [Carpediemonas membranifera]
KAG9389437.1	KAG9389437.1 hypothetical protein J8273_8729 [Carpediemonas membranifera]
KAG9389438.1	KAG9389438.1 hypothetical protein J8273_8730 [Carpediemonas membranifera]
KAG9389439.1	KAG9389439.1 hypothetical protein J8273_8731 [Carpediemonas membranifera]
KAG9389440.1	KAG9389440.1 hypothetical protein J8273_8732 [Carpediemonas membranifera]
KAG9389441.1	KAG9389441.1 hypothetical protein J8273_8733 [Carpediemonas membranifera]
KAG9389442.1	KAG9389442.1 hypothetical protein J8273_8734 [Carpediemonas membranifera]
KAG9389443.1	KAG9389443.1 hypothetical protein J8273_8735 [Carpediemonas membranifera]
KAG9389444.1	KAG9389444.1 hypothetical protein J8273_8736 [Carpediemonas membranifera]
KAG9389445.1	KAG9389445.1 hypothetical protein J8273_8737 [Carpediemonas membranifera]
KAG9389446.1	KAG9389446.1 hypothetical protein J8273_8738 [Carpediemonas membranifera]
KAG9389447.1	KAG9389447.1 hypothetical protein J8273_8739 [Carpediemonas membranifera]
KAG9389448.1	KAG9389448.1 hypothetical protein J8273_8740 [Carpediemonas membranifera]
KAG9389449.1	KAG9389449.1 hypothetical protein J8273_8741 [Carpediemonas membranifera]
KAG9389450.1	KAG9389450.1 hypothetical protein J8273_8742 [Carpediemonas membranifera]
KAG9389451.1	KAG9389451.1 hypothetical protein J8273_8743 [Carpediemonas membranifera]
KAG9389452.1	KAG9389452.1 Zinc finger FYVE/FYVE-related type [Carpediemonas membranifera]
KAG9389453.1	KAG9389453.1 hypothetical protein J8273_8745 [Carpediemonas membranifera]
KAG9389454.1	KAG9389454.1 Eukaryotic translation initiation factor eIF2A [Carpediemonas membranifera]
KAG9389455.1	KAG9389455.1 Tubulin-tyrosine ligase/Tubulin polyglutamylase [Carpediemonas membranifera]
KAG9389456.1	KAG9389456.1 PAP2 superfamily [Carpediemonas membranifera]
KAG9389457.1	KAG9389457.1 Homeobox domain [Carpediemonas membranifera]
KAG9389458.1	KAG9389458.1 Spt4/RpoE2 zinc finger [Carpediemonas membranifera]
KAG9389459.1	KAG9389459.1 Spt4/RpoE2 zinc finger [Carpediemonas membranifera]
KAG9389460.1	KAG9389460.1 Pseudouridine-5'-phosphate glycosidase [Carpediemonas membranifera]
KAG9389461.1	KAG9389461.1 hypothetical protein J8273_8753 [Carpediemonas membranifera]
KAG9389462.1	KAG9389462.1 hypothetical protein J8273_8754 [Carpediemonas membranifera]
KAG9389463.1	KAG9389463.1 B41 domain-containing protein [Carpediemonas membranifera]
KAG9389464.1	KAG9389464.1 hypothetical protein J8273_8756 [Carpediemonas membranifera]
KAG9389465.1	KAG9389465.1 hypothetical protein J8273_8757 [Carpediemonas membranifera]
KAG9389466.1	KAG9389466.1 bis(5'-adenosyl)-triphosphatase [Carpediemonas membranifera]
KAG9389467.1	KAG9389467.1 hypothetical protein J8273_8759 [Carpediemonas membranifera]
KAG9389468.1	KAG9389468.1 Protein transport protein SEC31 [Carpediemonas membranifera]
KAG9389469.1	KAG9389469.1 phosphotyrosine-binding domain protein [Carpediemonas membranifera]
KAG9389470.1	KAG9389470.1 swarming motility protein YbiA [Carpediemonas membranifera]
KAG9389471.1	KAG9389471.1 TPR repeat [Carpediemonas membranifera]
KAG9389472.1	KAG9389472.1 Villin/Gelsolin [Carpediemonas membranifera]
KAG9389473.1	KAG9389473.1 FG-GAP repeat [Carpediemonas membranifera]
KAG9389474.1	KAG9389474.1 Protein of unknown function DUF229 [Carpediemonas membranifera]
KAG9389475.1	KAG9389475.1 hypothetical protein J8273_8767 [Carpediemonas membranifera]
KAG9389476.1	KAG9389476.1 hypothetical protein J8273_8768 [Carpediemonas membranifera]
KAG9389477.1	KAG9389477.1 Major facilitator superfamily (MFS) [Carpediemonas membranifera]
KAG9389478.1	KAG9389478.1 6-phosphogluconate dehydrogenase, decarboxylating [Carpediemonas membranifera]
KAG9389479.1	KAG9389479.1 glucose-6-phosphate dehydrogenase [Carpediemonas membranifera]
KAG9389480.1	KAG9389480.1 hypothetical protein J8273_8772 [Carpediemonas membranifera]
KAG9389481.1	KAG9389481.1 Rhomboid family [Carpediemonas membranifera]
KAG9389482.1	KAG9389482.1 hypothetical protein J8273_8774 [Carpediemonas membranifera]
KAG9389483.1	KAG9389483.1 Ring finger domain [Carpediemonas membranifera]
KAG9389484.1	KAG9389484.1 histidine-type phosphatase [Carpediemonas membranifera]
KAG9389485.1	KAG9389485.1 DNA topoisomerase 1 [Carpediemonas membranifera]
KAG9389486.1	KAG9389486.1 hypothetical protein J8273_8778 [Carpediemonas membranifera]
KAG9389487.1	KAG9389487.1 PROCN (NUC071) domain [Carpediemonas membranifera]
KAG9389488.1	KAG9389488.1 serine/threonine-protein kinase ATR [Carpediemonas membranifera]
KAG9389489.1	KAG9389489.1 Serine/threonine-protein kinase ATR [Carpediemonas membranifera]
KAG9389490.1	KAG9389490.1 Chromosome partition protein Smc [Carpediemonas membranifera]
KAG9389491.1	KAG9389491.1 hypothetical protein J8273_8783 [Carpediemonas membranifera]
KAG9389492.1	KAG9389492.1 Glycerol dehydrogenase [Carpediemonas membranifera]
KAG9389493.1	KAG9389493.1 hypothetical protein J8273_8785 [Carpediemonas membranifera]
KAG9389494.1	KAG9389494.1 hypothetical protein J8273_8786 [Carpediemonas membranifera]
KAG9389495.1	KAG9389495.1 Protein phosphatase methylesterase 1-like [Carpediemonas membranifera]
KAG9389496.1	KAG9389496.1 Pyruvate kinase [Carpediemonas membranifera]
KAG9389497.1	KAG9389497.1 hypothetical protein J8273_8789 [Carpediemonas membranifera]
KAG9389498.1	KAG9389498.1 hypothetical protein J8273_8790 [Carpediemonas membranifera]
KAG9389499.1	KAG9389499.1 hypothetical protein J8273_8791 [Carpediemonas membranifera]
KAG9389500.1	KAG9389500.1 hypothetical protein J8273_8792 [Carpediemonas membranifera]
KAG9389501.1	KAG9389501.1 hypothetical protein J8273_8793 [Carpediemonas membranifera]
KAG9389502.1	KAG9389502.1 Serine/threonine-protein kinase [Carpediemonas membranifera]
KAG9389503.1	KAG9389503.1 hypothetical protein J8273_8796 [Carpediemonas membranifera]
KAG9389504.1	KAG9389504.1 hypothetical protein J8273_8797 [Carpediemonas membranifera]
KAG9389505.1	KAG9389505.1 hypothetical protein J8273_8798 [Carpediemonas membranifera]
KAG9389506.1	KAG9389506.1 Replication factor-A, RFA1 [Carpediemonas membranifera]
KAG9389507.1	KAG9389507.1 chromosome condensation regulator RCC1 [Carpediemonas membranifera]
KAG9389508.1	KAG9389508.1 hypothetical protein J8273_8801 [Carpediemonas membranifera]
KAG9389509.1	KAG9389509.1 Protein kinase domain [Carpediemonas membranifera]
KAG9389510.1	KAG9389510.1 Soluble NSF attachment protein, SNAP [Carpediemonas membranifera]
KAG9389511.1	KAG9389511.1 WD domain, G-beta repeat [Carpediemonas membranifera]
KAG9389512.1	KAG9389512.1 DAD/Ost2 [Carpediemonas membranifera]
KAG9389513.1	KAG9389513.1 Dynein light chain, type 1/2 [Carpediemonas membranifera]
KAG9389514.1	KAG9389514.1 Phosphorylase superfamily [Carpediemonas membranifera]
KAG9389515.1	KAG9389515.1 hypothetical protein J8273_8808 [Carpediemonas membranifera]
KAG9389516.1	KAG9389516.1 Protein kinase domain [Carpediemonas membranifera]
KAG9389517.1	KAG9389517.1 WD domain, G-beta repeat [Carpediemonas membranifera]
KAG9389518.1	KAG9389518.1 FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Carpediemonas membranifera]
KAG9389519.1	KAG9389519.1 Helicase associated domain (HA2) [Carpediemonas membranifera]
KAG9389520.1	KAG9389520.1 Dynamitin [Carpediemonas membranifera]
KAG9389521.1	KAG9389521.1 Glucose/ribitol dehydrogenase [Carpediemonas membranifera]
KAG9389522.1	KAG9389522.1 5'-nucleotidase [Carpediemonas membranifera]
KAG9389523.1	KAG9389523.1 hypothetical protein J8273_8816 [Carpediemonas membranifera]
KAG9389524.1	KAG9389524.1 Conserved hypothetical protein CHP02452 [Carpediemonas membranifera]
KAG9389525.1	KAG9389525.1 hypothetical protein J8273_8818 [Carpediemonas membranifera]
KAG9389526.1	KAG9389526.1 AMMECR1 [Carpediemonas membranifera]
KAG9389527.1	KAG9389527.1 Chromosome partition protein Smc [Carpediemonas membranifera]
KAG9389528.1	KAG9389528.1 hypothetical protein J8273_8821 [Carpediemonas membranifera]
KAG9389529.1	KAG9389529.1 hypothetical protein J8273_8822 [Carpediemonas membranifera]
KAG9389530.1	KAG9389530.1 hypothetical protein J8273_8823 [Carpediemonas membranifera]
KAG9389531.1	KAG9389531.1 hypothetical protein J8273_8824 [Carpediemonas membranifera]
KAG9389532.1	KAG9389532.1 hypothetical protein J8273_8825 [Carpediemonas membranifera]
KAG9389533.1	KAG9389533.1 hypothetical protein J8273_8826 [Carpediemonas membranifera]
KAG9389534.1	KAG9389534.1 hypothetical protein J8273_8827 [Carpediemonas membranifera]
KAG9389535.1	KAG9389535.1 Dynein heavy chain, N-terminal region 2 [Carpediemonas membranifera]
KAG9389536.1	KAG9389536.1 ABC transporter substrate-binding protein [Carpediemonas membranifera]
KAG9389537.1	KAG9389537.1 Uracyl-DNA glycosylase, UNG [Carpediemonas membranifera]
KAG9389538.1	KAG9389538.1 Ubiquitin-2 like Rad60 SUMO-like [Carpediemonas membranifera]
KAG9389539.1	KAG9389539.1 4Fe-4S Ferredoxin [Carpediemonas membranifera]
KAG9389540.1	KAG9389540.1 Protein tyrosine kinase [Carpediemonas membranifera]
KAG9389541.1	KAG9389541.1 hypothetical protein J8273_8834 [Carpediemonas membranifera]
KAG9389542.1	KAG9389542.1 Pyruvate flavodoxin oxidoreductase [Carpediemonas membranifera]
KAG9389543.1	KAG9389543.1 RNA polymerase II subunit A [Carpediemonas membranifera]
KAG9389544.1	KAG9389544.1 hypothetical protein J8273_8837 [Carpediemonas membranifera]
KAG9389545.1	KAG9389545.1 N-terminal region of Chorein, a TM vesicle-mediated sorter [Carpediemonas membranifera]
KAG9389546.1	KAG9389546.1 putative apicomplexan-conserved protein [Carpediemonas membranifera]
KAG9389547.1	KAG9389547.1 Ribosomal protein S2 [Carpediemonas membranifera]
KAG9389548.1	KAG9389548.1 Redoxin [Carpediemonas membranifera]
KAG9389549.1	KAG9389549.1 PPPDE putative peptidase domain [Carpediemonas membranifera]
KAG9389550.1	KAG9389550.1 hypothetical protein J8273_8843 [Carpediemonas membranifera]
KAG9389551.1	KAG9389551.1 hypothetical protein J8273_8844 [Carpediemonas membranifera]
KAG9389552.1	KAG9389552.1 Acetate [Carpediemonas membranifera]
KAG9389553.1	KAG9389553.1 Protein tyrosine kinase [Carpediemonas membranifera]
KAG9389554.1	KAG9389554.1 RAD50 [Carpediemonas membranifera]
KAG9389555.1	KAG9389555.1 hypothetical protein J8273_8848 [Carpediemonas membranifera]
KAG9389556.1	KAG9389556.1 tubulin gamma chain [Carpediemonas membranifera]
