OG	id	desc
OG0000193	HIN_011431	HIN_011431 Kinase, NEK
OG0000193	HIN_030199	HIN_030199 Helicase-related protein
OG0000193	HIN_030202	HIN_030202 Helicase-related protein
OG0000193	HIN_030205	HIN_030205 Helicase-related protein
OG0000193	HIN_030212	HIN_030212 Conserved hypothetical protein
OG0000193	HIN_030216	HIN_030216 Helicase-related protein
OG0000193	HIN_030218	HIN_030218 Helicase-related protein
OG0000193	HIN_030219	HIN_030219 Helicase-related protein
OG0000193	HIN_030220	HIN_030220 Helicase-related protein
OG0000193	HIN_030221	HIN_030221 helicase carboxy-terminal domain protein, putative
OG0000193	HIN_030324	HIN_030324 Helicase-related protein
OG0000193	HIN_030326	HIN_030326 Hypothetical protein
OG0000193	HIN_038443	HIN_038443 Helicase-related protein
OG0000193	HIN_038450	HIN_038450 Conserved hypothetical protein
OG0000193	HIN_038455	HIN_038455 Helicase-related protein
OG0000193	HIN_038459	HIN_038459 Conserved hypothetical protein
OG0000193	HIN_038463	HIN_038463 Hypothetical protein
OG0000193	HIN_038466	HIN_038466 Helicase-related protein
OG0000193	HIN_038467	HIN_038467 Conserved hypothetical protein
OG0000193	HIN_038470	HIN_038470 Helicase-related protein
OG0000193	HIN_038578	HIN_038578 Helicase-related protein
OG0000193	HIN_050431	HIN_050431 Helicase-related protein
OG0000193	HIN_050434	HIN_050434 Helicase-related protein
OG0000193	HIN_050437	HIN_050437 Helicase-related protein
OG0000193	HIN_050445	HIN_050445 Helicase-related protein
OG0000193	HIN_050446	HIN_050446 Helicase-related protein
OG0000193	HIN_050453	HIN_050453 Conserved hypothetical protein
OG0000193	HIN_050459	HIN_050459 Helicase-related protein
OG0000193	HIN_050461	HIN_050461 Helicase-related protein
OG0000193	HIN_050467	HIN_050467 Helicase-related protein
OG0000193	HIN_050468	HIN_050468 Helicase-related protein
OG0000193	HIN_050469	HIN_050469 Helicase-related protein
OG0000193	HIN_050554	HIN_050554 Helicase-related protein
OG0000193	HIN_052230	HIN_052230 helicase
OG0000193	HIN_053155	HIN_053155 Helicase-related protein
OG0000193	HIN_059727	HIN_059727 Helicase-related protein
OG0000193	HIN_059730	HIN_059730 Hypothetical protein
OG0000193	HIN_059731	HIN_059731 Helicase-related protein
OG0000193	HIN_059738	HIN_059738 Helicase-related protein
OG0000193	HIN_059741	HIN_059741 Helicase-related protein
OG0000193	HIN_059744	HIN_059744 Conserved hypothetical protein
OG0000193	HIN_059747	HIN_059747 Helicase-related protein
OG0000193	HIN_059753	HIN_059753 Helicase-related protein
OG0000193	HIN_059754	HIN_059754 Helicase-related protein
OG0000193	HIN_059755	HIN_059755 Helicase-related protein
OG0000193	HIN_059760	HIN_059760 Helicase-related protein
OG0000193	HIN_082120	HIN_082120 Helicase-related protein
OG0000193	HIN_082722	HIN_082722 helicase
OG0000193	HIN_082725	HIN_082725 Kinase, NEK
OG0000193	HIN_083967	HIN_083967 Helicase conserved domain containing protein
OG0000193	HIN_083968	HIN_083968 Conserved hypothetical protein
OG0000193	HIN_090095	HIN_090095 Conserved hypothetical protein
OG0000193	HIN_095246	HIN_095246 helicase
OG0000202	HIN_012221	HIN_012221 Myosin-cross-reactive antigen, putative
OG0000202	HIN_012230	HIN_012230 Myosin-cross-reactive antigen, putative
OG0000202	HIN_012233	HIN_012233 Myosin-cross-reactive antigen, putative
OG0000202	HIN_021536	HIN_021536 Myosin-cross-reactive antigen, putative
OG0000202	HIN_023387	HIN_023387 Myosin-cross-reactive antigen, putative
OG0000202	HIN_032191	HIN_032191 Myosin-cross-reactive antigen, putative
OG0000202	HIN_032208	HIN_032208 Myosin-cross-reactive antigen, putative
OG0000202	HIN_032310	HIN_032310 Myosin-cross-reactive antigen, putative
OG0000202	HIN_032311	HIN_032311 Myosin-cross-reactive antigen, putative
