OG0000024	OG0000185	OG0000257	OG0000333	OG0000383	OG0000500	OG0000554	OG0000613	OG0000626	OG0000852	OG0000998	OG0001001	OG0001274	OG0001327	OG0001401	OG0001520	OG0001585	OG0001623	OG0002005	OG0002009	OG0002013	OG0002266	OG0002323	OG0002334	OG0002408	OG0002584	OG0002744	OG0002853	OG0002904	OG0002905	OG0003080	OG0003152	OG0003227	OG0003246	OG0003531	OG0003575	OG0003735	OG0003803	OG0003878	OG0003884	OG0003986	OG0004082	OG0004159	OG0004162	OG0004341	OG0004588	OG0004615	OG0004633	OG0004648	OG0005172	OG0006079
GCA62770.1	GIQ80663.1	GIQ87226.1	GIQ82551.1	GIQ80518.1	GCA62002.1	GIQ90625.1	GIQ84440.1	GIQ90785.1	GIQ81671.1	GIQ81556.1	GIQ86301.1	GIQ82880.1	GIQ82189.1	GIQ87815.1	GIQ82460.1	GCA63480.1	GCA63143.1	GIQ80547.1	GIQ90006.1	GIQ82947.1	GIQ89616.1	GCA61975.1	GCA65118.1	GIQ80265.1	GIQ83239.1	GIQ87551.1	GIQ83555.1	GCA62799.1	GIQ85951.1	GIQ83466.1	GIQ89214.1	GIQ83971.1	GIQ83899.1	GIQ88983.1	GIQ80932.1	GIQ79493.1	GIQ80604.1	GIQ84302.1	GIQ79382.1	GIQ85339.1	GIQ87554.1	GIQ86274.1	GIQ81805.1	GIQ84138.1	GIQ81849.1	GIQ81284.1	GIQ87916.1	GIQ88955.1	GIQ82005.1	GIQ90519.1
GCA63431.1	HIN_003667	GIQ93114.1	HIN_002872	GIQ81660.1	GCA63122.1	HIN_006466	GIQ86014.1	HIN_015298	GIQ86765.1	GIQ83740.1	GIQ86574.1	GIQ87596.1	GIQ85323.1	HIN_022335	GIQ83410.1	GIQ81628.1	GIQ81970.1	HIN_039476	GIQ90214.1	GIQ90751.1	GIQ90386.1	HIN_019673	GCA65170.1	GIQ85411.1	GIQ89167.1	HIN_014511	HIN_023914	HIN_028364	HIN_028367	GIQ84668.1	HIN_000460	HIN_006050	GIQ87326.1	HIN_043326	HIN_057032	HIN_003107	HIN_007695	GIQ89763.1	HIN_016195	HIN_022637	HIN_034316	HIN_051198	GIQ84483.1	GIQ84833.1	HIN_019306	HIN_021085	HIN_022132	HIN_023344	HIN_002255	HIN_100549
GCA64327.1	HIN_005858	HIN_003089	HIN_002873	GIQ81792.1	GIQ80597.1	HIN_006476	HIN_005310	HIN_015346	HIN_026336	GIQ84819.1	HIN_018706	GIQ91015.1	GIQ91066.1	HIN_022336	GIQ85903.1	GIQ82717.1	GIQ86048.1	HIN_070185	HIN_041600	HIN_044081	GIQ90836.1	HIN_019675	GIQ88595.1	HIN_033832	HIN_002947	HIN_014513	HIN_030656	HIN_053053	HIN_053055	HIN_084458	HIN_000462	HIN_014265	HIN_007760	HIN_050677	HIN_066360	HIN_027089	HIN_038716	HIN_015319	HIN_040688	HIN_028558	HIN_057128	HIN_075134	HIN_051815	HIN_001644	HIN_053451	HIN_032076	HIN_069168	HIN_038260	HIN_016025	KAG9390978.1
GIQ79907.1	HIN_006161	HIN_005316	HIN_002874	GIQ81996.1	GIQ89126.1	HIN_006482	HIN_010655	HIN_015358	HIN_026722	GIQ84924.1	HIN_023939	HIN_034807	GIQ91228.1	HIN_036720	HIN_004438	GIQ83316.1	GIQ86998.1	HIN_070707	HIN_054512	HIN_052449	HIN_016094	HIN_076900	GIQ91964.1	HIN_033835	HIN_002956	HIN_023643	HIN_030663	HIN_062198	HIN_062196	HIN_094096	HIN_076559	HIN_023892	HIN_038806	HIN_075686	HIN_097889	HIN_027944	HIN_090445	HIN_029546	HIN_040695	HIN_043048	HIN_069951	HIN_093009	HIN_063321	HIN_014999	HIN_067201	HIN_059708	HIN_074993	HIN_050233	KAG9389819.1	TPC1_14911
GIQ79998.1	HIN_006171	HIN_005733	HIN_015457	GIQ86498.1	HIN_008966	HIN_006488	HIN_010656	HIN_015375	HIN_026827	GIQ91216.1	HIN_030686	HIN_037528	HIN_001518	HIN_037235	HIN_031673	GIQ84309.1	GIQ90394.1	HIN_070710	HIN_058869	HIN_052451	HIN_065712	HIN_076902	HIN_020826	HIN_034205	HIN_078665	HIN_023644	HIN_067978	HIN_080819	HIN_080519	KAG9392587.1	HIN_076562	HIN_029925	HIN_098410	HIN_075688	KAG9395939.1	HIN_039091	KAG9391918.1	HIN_086018	HIN_094064	HIN_043561	HIN_077915	KAG9389712.1	HIN_091596	KAG9397038.1	KAG9394448.1	KAG9394656.1	KAG9390648.1	KAG9391595.1	TPC1_16918	TPC1_16271
GIQ80216.1	HIN_006201	HIN_005755	HIN_015458	GIQ86704.1	HIN_029159	HIN_006496	HIN_010789	HIN_015376	HIN_026832	HIN_017413	HIN_068003	HIN_049369	HIN_001668	HIN_037248	HIN_031675	GIQ86184.1	GIQ90635.1	HIN_077888	HIN_061146	HIN_095697	HIN_065713	HIN_097175	HIN_058536	HIN_067940	HIN_080166	HIN_081159	HIN_071038	KAG9390768.1	HIN_080821	KAG9396447.1	HIN_078179	KAG9395106.1	HIN_100668	HIN_094175	TPC1_13249	KAG9389460.1	KAG9395083.1	KAG9390375.1	KAG9390365.1	KAG9390526.1	KAG9397185.1	KAG9392668.1	KAG9396933.1	TPC1_15958	TPC1_12276	TPC1_20003	TPC1_10096	TPC1_16494		
GIQ80951.1	HIN_006205	HIN_014089	HIN_015461	GIQ88446.1	HIN_078310	HIN_006504	HIN_037950	HIN_022052	HIN_026833	HIN_017599	HIN_071075	HIN_061603	HIN_014873	HIN_044194	HIN_062582	GIQ90953.1	HIN_024142	HIN_097837	HIN_090124	KAG9389702.1	HIN_070924	HIN_100911	HIN_064692	HIN_067943	HIN_083321	HIN_081160	HIN_074347	KAG9396387.1	KAG9389799.1	TPC1_14930	KAG9391734.1	TPC1_13703	KAG9392689.1	KAG9397491.1	TPC1_15503	TPC1_10098	TPC1_12743	TPC1_10189	TPC1_16913	TPC1_12293	TPC1_11740	TPC1_12876	TPC1_15478							
GIQ81006.1	HIN_006252	HIN_026089	HIN_015462	GIQ89425.1	HIN_096097	HIN_008206	HIN_038023	HIN_029518	HIN_039232	HIN_047832	HIN_073560	HIN_061813	HIN_015026	HIN_044210	KAG9389707.1	HIN_018417	HIN_069035	HIN_097961	HIN_090160	KAG9395531.1	KAG9393973.1	KAG9394603.1	HIN_091211	HIN_067945	KAG9393438.1	KAG9391206.1	KAG9392142.1	KAG9397635.1	KAG9393415.1	TPC1_15474	TPC1_14196	TPC1_17639	TPC1_13680	TPC1_12412	TPC1_16011															
GIQ81549.1	HIN_007425	HIN_026092	HIN_015463	GIQ90163.1	KAG9389457.1	HIN_008215	HIN_048578	HIN_029567	HIN_039315	HIN_049188	HIN_073562	HIN_070348	KAG9393060.1	HIN_056532	TPC1_11615	HIN_033396	HIN_083568	KAG9396393.1	HIN_093805	TPC1_10745	TPC1_12584	KAG9397131.1	KAG9396130.1	KAG9397656.1	TPC1_16447	TPC1_10712	TPC1_10233	TPC1_15415	TPC1_15867	TPC1_16307																				
GIQ81796.1	HIN_011147	HIN_026120	HIN_015464	GIQ90218.1	KAG9390174.1	HIN_008223	HIN_048637	HIN_029569	HIN_045896	HIN_052701	HIN_074321	HIN_081291	KAG9394504.1	HIN_064485	TPC1_13076	HIN_055732	KAG9391275.1	TPC1_13001	KAG9395483.1	TPC1_15634	TPC1_13242	TPC1_10785	TPC1_15193	TPC1_11413																										
