OG	id	desc
OG0000024	HIN_000257	HIN_000257 Conserved hypothetical protein
OG0000024	HIN_000524	HIN_000524 Conserved hypothetical protein
OG0000024	HIN_000525	HIN_000525 Conserved hypothetical protein
OG0000024	HIN_000537	HIN_000537 Conserved hypothetical protein
OG0000024	HIN_000539	HIN_000539 Conserved hypothetical protein
OG0000024	HIN_000543	HIN_000543 Conserved hypothetical protein
OG0000024	HIN_000545	HIN_000545 Conserved hypothetical protein
OG0000024	HIN_002083	HIN_002083 BPI-like protein
OG0000024	HIN_002325	HIN_002325 Conserved hypothetical protein
OG0000024	HIN_002326	HIN_002326 Conserved hypothetical protein
OG0000024	HIN_002337	HIN_002337 Conserved hypothetical protein
OG0000024	HIN_002342	HIN_002342 Conserved hypothetical protein
OG0000024	HIN_002358	HIN_002358 BPI-like protein
OG0000024	HIN_002360	HIN_002360 Conserved hypothetical protein
OG0000024	HIN_002719	HIN_002719 Conserved hypothetical protein
OG0000024	HIN_002772	HIN_002772 BPI-like protein
OG0000024	HIN_002773	HIN_002773 BPI-like protein
OG0000024	HIN_004536	HIN_004536 Conserved hypothetical protein
OG0000024	HIN_005454	HIN_005454 BPI-like protein
OG0000024	HIN_005456	HIN_005456 BPI-like protein
OG0000024	HIN_007813	HIN_007813 Conserved hypothetical protein
OG0000024	HIN_007828	HIN_007828 Conserved hypothetical protein
OG0000024	HIN_009527	HIN_009527 Conserved hypothetical protein
OG0000024	HIN_009545	HIN_009545 Conserved hypothetical protein
OG0000024	HIN_009909	HIN_009909 Conserved hypothetical protein
OG0000024	HIN_010006	HIN_010006 Conserved hypothetical protein
OG0000024	HIN_010029	HIN_010029 Conserved hypothetical protein
OG0000024	HIN_010037	HIN_010037 Conserved hypothetical protein
OG0000024	HIN_010760	HIN_010760 Conserved hypothetical protein
OG0000024	HIN_010810	HIN_010810 Conserved hypothetical protein
OG0000024	HIN_010899	HIN_010899 Conserved hypothetical protein
OG0000024	HIN_011823	HIN_011823 Conserved hypothetical protein
OG0000024	HIN_013744	HIN_013744 Conserved hypothetical protein
OG0000024	HIN_016722	HIN_016722 BPI-like protein
OG0000024	HIN_016726	HIN_016726 BPI-like protein
OG0000024	HIN_016801	HIN_016801 Conserved hypothetical protein
OG0000024	HIN_017650	HIN_017650 BPI-like protein
OG0000024	HIN_017673	HIN_017673 Conserved hypothetical protein
OG0000024	HIN_022251	HIN_022251 BPI-like protein
OG0000024	HIN_022252	HIN_022252 BPI-like protein
OG0000024	HIN_022470	HIN_022470 Conserved hypothetical protein
OG0000024	HIN_023094	HIN_023094 Hypothetical protein
OG0000024	HIN_023100	HIN_023100 Conserved hypothetical protein
OG0000024	HIN_023245	HIN_023245 Conserved hypothetical protein
OG0000024	HIN_023281	HIN_023281 Conserved hypothetical protein
OG0000024	HIN_024296	HIN_024296 Conserved hypothetical protein
OG0000024	HIN_024393	HIN_024393 Conserved hypothetical protein
OG0000024	HIN_024862	HIN_024862 Conserved hypothetical protein
OG0000024	HIN_024920	HIN_024920 Conserved hypothetical protein
OG0000024	HIN_025004	HIN_025004 BPI-like protein
OG0000024	HIN_025050	HIN_025050 Conserved hypothetical protein
OG0000024	HIN_025077	HIN_025077 Conserved hypothetical protein
OG0000024	HIN_025117	HIN_025117 Conserved hypothetical protein
OG0000024	HIN_025122	HIN_025122 Conserved hypothetical protein
OG0000024	HIN_025130	HIN_025130 Conserved hypothetical protein
OG0000024	HIN_025524	HIN_025524 Conserved hypothetical protein
OG0000024	HIN_027272	HIN_027272 Conserved hypothetical protein
OG0000024	HIN_027296	HIN_027296 Conserved hypothetical protein
OG0000024	HIN_027339	HIN_027339 BPI-like protein
OG0000024	HIN_027374	HIN_027374 BPI-like protein
OG0000024	HIN_027377	HIN_027377 BPI-like protein
OG0000024	HIN_030020	HIN_030020 Conserved hypothetical protein
OG0000024	HIN_031359	HIN_031359 Conserved hypothetical protein
OG0000024	HIN_031431	HIN_031431 Conserved hypothetical protein
OG0000024	HIN_031620	HIN_031620 Conserved hypothetical protein
OG0000024	HIN_032394	HIN_032394 BPI-like protein
OG0000024	HIN_032401	HIN_032401 Conserved hypothetical protein
OG0000024	HIN_032402	HIN_032402 BPI-like protein
OG0000024	HIN_034381	HIN_034381 Conserved hypothetical protein
OG0000024	HIN_034391	HIN_034391 BPI-like protein
OG0000024	HIN_034829	HIN_034829 BPI-like protein
OG0000024	HIN_035798	HIN_035798 Conserved hypothetical protein
OG0000024	HIN_035815	HIN_035815 Conserved hypothetical protein
OG0000024	HIN_037292	HIN_037292 Conserved hypothetical protein
OG0000024	HIN_038016	HIN_038016 Conserved hypothetical protein
OG0000024	HIN_038040	HIN_038040 Conserved hypothetical protein
OG0000024	HIN_038123	HIN_038123 Conserved hypothetical protein
OG0000024	HIN_038376	HIN_038376 Conserved hypothetical protein
OG0000024	HIN_038403	HIN_038403 Conserved hypothetical protein
OG0000024	HIN_038410	HIN_038410 Conserved hypothetical protein
OG0000024	HIN_038876	HIN_038876 Conserved hypothetical protein
OG0000024	HIN_038882	HIN_038882 Conserved hypothetical protein
OG0000024	HIN_038896	HIN_038896 Conserved hypothetical protein
OG0000024	HIN_039095	HIN_039095 Conserved hypothetical protein
OG0000024	HIN_040045	HIN_040045 BPI-like protein
OG0000024	HIN_040046	HIN_040046 Conserved hypothetical protein
OG0000024	HIN_040071	HIN_040071 Conserved hypothetical protein
OG0000024	HIN_040139	HIN_040139 BPI-like protein
OG0000024	HIN_040297	HIN_040297 Conserved hypothetical protein
OG0000024	HIN_040303	HIN_040303 Conserved hypothetical protein
OG0000024	HIN_040307	HIN_040307 Conserved hypothetical protein
OG0000024	HIN_040308	HIN_040308 Conserved hypothetical protein
OG0000024	HIN_042310	HIN_042310 Conserved hypothetical protein
OG0000024	HIN_045358	HIN_045358 Conserved hypothetical protein
OG0000024	HIN_045401	HIN_045401 Conserved hypothetical protein
OG0000024	HIN_045794	HIN_045794 BPI-like protein
OG0000024	HIN_045795	HIN_045795 BPI-like protein
OG0000024	HIN_046358	HIN_046358 Conserved hypothetical protein
OG0000024	HIN_046392	HIN_046392 Conserved hypothetical protein
OG0000024	HIN_047867	HIN_047867 Conserved hypothetical protein
OG0000024	HIN_047880	HIN_047880 Conserved hypothetical protein
OG0000024	HIN_047892	HIN_047892 Conserved hypothetical protein
OG0000024	HIN_048495	HIN_048495 Conserved hypothetical protein
OG0000024	HIN_048562	HIN_048562 Conserved hypothetical protein
OG0000024	HIN_048585	HIN_048585 Conserved hypothetical protein
OG0000024	HIN_049796	HIN_049796 BPI-like protein
OG0000024	HIN_050370	HIN_050370 Conserved hypothetical protein
OG0000024	HIN_050400	HIN_050400 Conserved hypothetical protein
OG0000024	HIN_050407	HIN_050407 Conserved hypothetical protein
OG0000024	HIN_051478	HIN_051478 Conserved hypothetical protein
OG0000024	HIN_051490	HIN_051490 Conserved hypothetical protein
OG0000024	HIN_052757	HIN_052757 Conserved hypothetical protein
OG0000024	HIN_052777	HIN_052777 BPI-like protein
OG0000024	HIN_053169	HIN_053169 Conserved hypothetical protein
OG0000024	HIN_054208	HIN_054208 Conserved hypothetical protein
OG0000024	HIN_054290	HIN_054290 BPI-like protein
OG0000024	HIN_054291	HIN_054291 BPI-like protein
OG0000024	HIN_055291	HIN_055291 Conserved hypothetical protein
