id	desc
GL50803_60001	Reverse transcriptase/endonuclease, putative
GL50803_60004	Reverse transcriptase/endonuclease, putative
GL50803_60026	Ankyrin repeat protein 1
GL50803_60027	Kinase, NEK
GL50803_60028	Hypothetical protein
GL50803_8044	Seven transmembrane protein 1
GL50803_16313	Pescadillo cell cycle regulator
GL50803_95162	Tenascin-like protein
GL50803_8038	Nucleoporin
GL50803_8037	Kinase, CMGC CDK
GL50803_14615	Hypothetical protein
GL50803_8035	Ribosome biogenesis protein ERB1
GL50803_14614	Eukaryotic translation initiation factor 5A
GL50803_16312	Hypothetical protein
GL50803_2452	Ornithine cyclodeaminase
GL50803_16311	Centromere/microtubule binding protein CBF5
GL50803_16310	Ribosomal protein L27a
GL50803_22165	Kinase, STE STE7
GL50803_12945	Yip1 domain-containing protein
GL50803_114498	Hypothetical protein
GL50803_60030	High cysteine membrane protein EGF-like
GL50803_d113304	VSP
GL50803_d15250	High cysteine membrane protein Group 6
GL50803_6702	tRNA pseudouridine13 synthase
GL50803_6700	Kinase, CMGC RCK
GL50803_14278	Hypothetical protein
GL50803_14277	N-acetyltransferase-like protein
GL50803_17025	Nuclear ATP/GTP-binding protein
GL50803_95661	Tubulin tyrosine ligase
GL50803_14708	Hypothetical protein
GL50803_8438	Ankyrin repeat protein 2
GL50803_17023	Ankyrin repeat protein 1
GL50803_95653	Coiled-coil protein
GL50803_8444	Multidrug MFS transporter
GL50803_8445	Kinase, NEK
GL50803_8446	Hypothetical protein
GL50803_8449	Hypothetical protein
GL50803_113836	High cysteine membrane protein EGF-like
GL50803_23767	Las1-like protein
GL50803_10612	Phosphotyrosyl phosphatase activator protein, putative
GL50803_15252	Ubiquitin-conjugating enzyme E2
GL50803_101824	Hypothetical protein
GL50803_10609	Kinase, STE STE20
GL50803_10608	Hypothetical protein
GL50803_10606	CCR4-NOT transcription complex, subunit 7
GL50803_10605	Ankyrin repeat protein 2
GL50803_29252	Hypothetical protein
GL50803_15251	Hypothetical protein
GL50803_15250	High cysteine membrane protein Group 6
GL50803_113304	VSP
GL50803_113303	Cathepsin B-like cysteine proteinase
GL50803_16363	Alanine aminotransferase, putative
GL50803_3755	Hypothetical protein
GL50803_3756	Hypothetical protein
GL50803_26838	Hypothetical protein
GL50803_16364	Gamma adaptin
GL50803_2572	Hypothetical protein
GL50803_16365	Hypothetical protein
GL50803_94542	Hypothetical protein
GL50803_23655	Hypothetical protein
GL50803_3896	Sec61-gamma
GL50803_26894	VSP
GL50803_60083	Kinase, NEK
GL50803_60084	Hypothetical protein
GL50803_60085	Hypothetical protein
GL50803_113297	High cysteine membrane protein VSP-like
GL50803_5324	Hypothetical protein
GL50803_88581	Synaptic glycoprotein SC2
GL50803_5328	AP2 sigma adaptin
GL50803_13896	Serine aminopeptidase
GL50803_16297	Hypothetical protein
GL50803_16298	Ribosomal protein S27a
GL50803_5333	Calmodulin
GL50803_16299	Sda1, severe depolymerization of actin
GL50803_2830	Hypothetical protein
GL50803_2833	Chromosome segregation protein Spc25
GL50803_2834	Putative GTPase activating protein for ARF
GL50803_16300	Ankyrin repeat protein 1
GL50803_d103094	Ankyrin repeat protein 1
GL50803_113284	Ankyrin repeat protein 2
GL50803_17058	Hypothetical protein
GL50803_1890	3' exoribonuclease, putative
GL50803_17056	Ribosomal protein L6
GL50803_17055	Hypothetical protein
GL50803_17054	Acidic ribosomal protein P0
GL50803_17053	Ankyrin repeat protein 1
GL50803_4644	Hypothetical protein
GL50803_91480	STU2-like protein
GL50803_91476	Hypothetical protein
GL50803_17051	Ankyrin repeat protein 1
GL50803_91504	Hypothetical protein
GL50803_50028	High cysteine protein
GL50803_116477	VSP
GL50803_96616	Kinase, CMGC CDKL
GL50803_27836	Ankyrin repeat protein 1
GL50803_20315	Hypothetical protein
GL50803_27835	Hypothetical protein
GL50803_17157	Protein phosphatase 2A regulary subunit B
GL50803_96605	Hypothetical protein
GL50803_112630	Hypothetical protein
GL50803_10038	Alpha-18 giardin
GL50803_15101	Alpha-17 giardin
GL50803_10036	Alpha-16 giardin
GL50803_10034	Hypothetical protein
GL50803_10033	Hypothetical protein
GL50803_15099	20S proteasome alpha subunit 4
GL50803_17155	Hypothetical protein
GL50803_10027	Hypothetical protein
GL50803_17154	Ribosomal RNA-processing protein 7
GL50803_13999	Hypothetical protein
GL50803_13998	Threonyl-tRNA synthetase
GL50803_17153	Alpha-11 giardin
GL50803_13996	Alpha-15 giardin
GL50803_5649	Alpha-10 giardin
GL50803_5648	Hypothetical protein
GL50803_13995	Transcriptional regulator
GL50803_17152	Ankyrin repeat protein 1
GL50803_17151	NADPH oxidoreductase, putative
GL50803_17150	NADPH oxidoreductase, putative
GL50803_7590	Qc-SNARE 2
GL50803_14490	Ankyrin repeat protein 1
GL50803_7588	Serine/threonine protein phosphatase 7
GL50803_20307	Hypothetical protein
GL50803_24555	Hypothetical protein
GL50803_14488	Cyclin A
GL50803_14487	Hypothetical protein
GL50803_7579	Kinase, NEK
GL50803_7578	Dynein light chain
GL50803_7577	Hypothetical protein
GL50803_17149	GTP-binding protein
GL50803_88245	Ankyrin repeat protein 1
GL50803_116713	Hypothetical protein
GL50803_134442	Hypothetical protein
GL50803_60130	Hypothetical protein
GL50803_d114445	Hypothetical protein
GL50803_d60176	Hypothetical protein
GL50803_87706	High cysteine membrane protein Group 3
GL50803_116574	Hypothetical protein
GL50803_50041	High cysteine membrane protein Group 4
GL50803_2338	Hypothetical protein
GL50803_21198	Hypothetical protein
GL50803_15109	Hypothetical protein
GL50803_10079	Hypothetical protein
GL50803_15110	Hypothetical protein
GL50803_16376	ATP-dependent RNA helicase p47, putative
GL50803_34684	DEAD box RNA helicase Vasa
GL50803_15112	Dual specificity phosphatase, catalytic
GL50803_21201	Hypothetical protein
GL50803_15113	Actin related protein
GL50803_10091	Ribosomal protein L23
GL50803_16375	Intraflagellar transport protein IFT56
GL50803_16374	High cysteine membrane protein Group 2
GL50803_16373	Hypothetical protein
GL50803_114815	Tenascin-like protein
GL50803_39904	High cysteine membrane protein Group 2
GL50803_134441	Hypothetical protein
GL50803_116712	Hypothetical protein
GL50803_114813	VSP
GL50803_15867	GTP-binding protein
GL50803_15868	Hypothetical protein
GL50803_15869	GTP-binding nuclear protein RAN/TC4
GL50803_88735	Ankyrin repeat protein 1
GL50803_22850	Kinase, CMGC MAPK
GL50803_16263	Deflagellation inducible protein
GL50803_12949	Proteasome subunit beta type 5
GL50803_2261	Ser/Thr protein phosphatase 2A
GL50803_12950	Ubiquitin-conjugating enzyme E2 (E3-independent)
GL50803_60147	Ribosomal protein S30
GL50803_16264	WD40 repeat protein
GL50803_16265	Ribosomal protein S3a
GL50803_8415	Nop53 (60S ribosomal biogenesis)
GL50803_101739	Hypothetical protein
GL50803_14702	RRNA biogenesis protein RRP5
GL50803_8410	Hypothetical protein
