id	desc
TPC1_10001	TPC1_10001 Glucan endo-1,6-beta-glucosidase
TPC1_10002	TPC1_10002 Conserved hypothetical protein
TPC1_10003	TPC1_10003 WD40 domain-containing protein
TPC1_10004	TPC1_10004 Leucine rich repeats-containing protein
TPC1_10005	TPC1_10005 Thioredoxin-like domain-containing protein
TPC1_10007	TPC1_10007 Hypothetical protein
TPC1_10008	TPC1_10008 DHHC zinc finger domain-containing protein
TPC1_10009	TPC1_10009 Hypothetical protein
TPC1_10010	TPC1_10010 Acylphosphatase
TPC1_10013	TPC1_10013 Hypothetical protein
TPC1_10014	TPC1_10014 Prefoldin subunit 2
TPC1_10015	TPC1_10015 Myb-like DNA-binding domain-containing protein
TPC1_10016	TPC1_10016 Conserved hypothetical protein
TPC1_10017	TPC1_10017 DNA primase
TPC1_10018	TPC1_10018 Rab-like protein
TPC1_10020	TPC1_10020 Hypothetical protein
TPC1_10022	TPC1_10022 Alkaline phosphatase
TPC1_10024	TPC1_10024 Pospholipid-transporting ATPase
TPC1_10025	TPC1_10025 Conserved hypothetical protein
TPC1_10026	TPC1_10026 Conserved hypothetical protein
TPC1_10027	TPC1_10027 Hypothetical protein
TPC1_10029	TPC1_10029 Conserved hypothetical protein
TPC1_10030	TPC1_10030 Heat shock protein 70
TPC1_10031	TPC1_10031 Pseudouridylate synthase
TPC1_10032	TPC1_10032 Inosine-uridine nucleoside N-ribohydrolase
TPC1_10033	TPC1_10033 Conserved hypothetical protein
TPC1_10034	TPC1_10034 Kinase, PEK
TPC1_10035	TPC1_10035 Leucine rich repeats-containing protein
TPC1_10036	TPC1_10036 Conserved hypothetical protein
TPC1_10037	TPC1_10037 Isoamyl acetate-hydrolyzing esterase 1 protein
TPC1_10040	TPC1_10040 ADP-ribosylation factor
TPC1_10041	TPC1_10041 Myb-like DNA-binding domain containing protein
TPC1_10042	TPC1_10042 SOH1 family protein
TPC1_10043	TPC1_10043 Conserved hypothetical protein
TPC1_10044	TPC1_10044 Leucine rich repeats-containing protein
TPC1_10045	TPC1_10045 NlpC/P60 family protein
TPC1_10046	TPC1_10046 Hypothetical protein
TPC1_10049	TPC1_10049 Acyltransferase domain-containing protein
TPC1_10050	TPC1_10050 Equilibrative nucleoside transporter family protein
TPC1_10052	TPC1_10052 Conserved hypothetical protein
TPC1_10053	TPC1_10053 Hypothetical protein
TPC1_10055	TPC1_10055 Hypothetical protein
TPC1_10056	TPC1_10056 Conserved hypothetical protein
TPC1_10057	TPC1_10057 Conserved hypothetical protein
TPC1_10058	TPC1_10058 ATP-dependent RNA helicase
TPC1_10060	TPC1_10060 Rab-like protein
TPC1_10061	TPC1_10061 Hypothetical protein
TPC1_10064	TPC1_10064 Serine/threonine-protein phosphatase
TPC1_10069	TPC1_10069 Protein disulfide isomerase
TPC1_10070	TPC1_10070 Hypothetical protein
TPC1_10071	TPC1_10071 Dihydropyrimidinase
TPC1_10073	TPC1_10073 Calmodulin
TPC1_10074	TPC1_10074 Serpin 1
TPC1_10076	TPC1_10076 Hypothetical protein
TPC1_10078	TPC1_10078 Transmembrane domain-containing protein
TPC1_10079	TPC1_10079 Adenylate kinase 4 (CMP-UMP kinase)
TPC1_10080	TPC1_10080 Conserved hypothetical protein
TPC1_10082	TPC1_10082 Conserved hypothetical protein
TPC1_10084	TPC1_10084 B-box Zinc finger domain-containing protein
TPC1_10085	TPC1_10085 Ribosomal protein L13a
TPC1_10086	TPC1_10086 Conserved hypothetical protein
TPC1_10088	TPC1_10088 BPI-like protein
TPC1_10089	TPC1_10089 Leucine rich repeats-containing protein
TPC1_10090	TPC1_10090 Myb-like DNA-binding domain-containing protein
TPC1_10092	TPC1_10092 Serpin 1
TPC1_10093	TPC1_10093 Leucine rich repeats-containing protein
TPC1_10094	TPC1_10094 Hypothetical protein
TPC1_10095	TPC1_10095 von Willebrand factor type A domain-containing protein
TPC1_10096	TPC1_10096 Putative endonuclease V
TPC1_10097	TPC1_10097 Possible metal-binding domain in endoribonuclease RNase L inhibitor-containing protein
TPC1_10098	TPC1_10098 Pseudouridine-5'-phosphate glycosidase
TPC1_10100	TPC1_10100 Rab-like protein
TPC1_10101	TPC1_10101 Transglutaminase-like superfamily protein
TPC1_10102	TPC1_10102 Conserved hypothetical protein
TPC1_10104	TPC1_10104 Leucine rich repeats-containing protein
TPC1_10105	TPC1_10105 Conserved hypothetical protein
TPC1_10106	TPC1_10106 Myb-like DNA-binding domain-containing protein
TPC1_10107	TPC1_10107 5'-3' deoxyribonucleotidase
TPC1_10109	TPC1_10109 Conserved hypothetical protein
TPC1_10110	TPC1_10110 Major facilitator superfamily protein
TPC1_10111	TPC1_10111 Leucine rich repeats-containing protein
TPC1_10112	TPC1_10112 Conserved hypothetical protein
TPC1_10113	TPC1_10113 Ankyrin repeat-containing protein
TPC1_10116	TPC1_10116 Kinase, CAMK CAMKL
TPC1_10117	TPC1_10117 Leucine rich repeats-containing protein
TPC1_10118	TPC1_10118 Rab-like protein
